name,index,value,stderr
(intercept),,39.8746919304,
Total Teachers (Elementary),,-3.75673204351e-06,
% Teachers: Government,,0.0980286692946,
% Teachers: Private Aided,,2.29400857966,
% Teachers: Private Unaided,,0.141136982464,
Pupil-Teacher Ratio: Elementary,,-0.0476763876804,
% Female Teachers,,0.007176001038,
% SC Teachers,,0.427232137551,
% ST Teachers,,0.844865503356,
% OBC Teachers,,0.12246267881,
% Teachers Recieved in-Service Training,,-0.145676299933,
Enrolment: Classes I-V,,-4.09687347098e-07,
Enrolment: Classes VI-VIII,,-8.47363282114e-07,
"Enrolment: Classes I-V, Government",,1.01520383628e-06,
"Enrolment:Classes VI-VIII,Go8v9.e6rnment",,1.57570501634e-06,
"Enrolment: Classe4s1 .I3-V, Private",,8.72707913515e-07,
"Enrolment: Classes VI-VIII, Private",,1.48213047985e-06,
% Girls Enrolment: Primary Le9v4e.6l,,-0.000664138557267,
% Girls Enrolment: 4U7..P1rimary Level,,-0.000812587680493,
Ratio of Girls Enr.to Boys: Primary,,-0.127905838166,
Ratio of Girls Enr.to Boys: U.Primary,,-0.0611459390851,
% SC Enrolment: Classes I-VIII,,0.00183732575313,
% ST Enrolment: Classes  I-VI9II5.6,,-0.15644293252,
% OBC Enrolment: Primary Level,,-0.00623083594937,
% OBC Enrolment:U.Primary Level,,-0.00542269840797,
% Muslim Enrolment: Primary 9L6e.v3el,,0.392565442744,
% Muslim Enrolment: U. Pr8im3.a8ry Level,,0.487006392108,
Ratio of Grade V to I,,0.0146374784902,
Avg. Repetition Rate: Primary Level,,-2.99794767309,
Avg.Repetition Rate: U.Primary Level,,11.8262477775,
Avg. Drop-out Rate: Primary Le9v7e.9l,,-0.933868037574,
Retention Rate: Primary Level,,0.0641957539059,
Student-Classroom Ratio,,-0.0323004502667,
% Schools with Drinking Water,,0.01819101428,
% Schools with Common Toilet,,0.000454989136253,
% Schools with Boys' Toilet,,0.0177944708177,
% Schools with Girls' Toilet,,-0.00894586792266,
% Schools with Boundarywall,,0.000536241759115,
% School with Playground Facility,,0.0413958262487,
% Schools with Ramp,,-0.071070774075,
% Schools havining Electricity,,0.010332894572,
% Schools with Computer,,0.022915534322,
% Schools Providing Mid-day Meal*,,0.0123770342528,
Number of Distric2t.9s Covered,,-0.122417061757,
Total Schools,,-2.37735790257e-05,
Total Government Schools,,4.80953041244e-05,
Total Private Schools,,5.95493819439e-05,
Ratio of Primary to U.PrimarySch./9S.e2c.,,0.289045074673,
Primary Sch./Sec.per 1000 Child Popln.,,0.0643964283201,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.106782044566,
% Single-Teacher Schools with Enr.≥15,,0.310591071154,
% Enrolment in Single-Teacher Schools,,0.587629309613,
% Schools with Enrol4m.7ent ≤ 50,,0.0351105676226,
% Schools with F3e.m2 ale Teachers,,0.00203530951785,
