name,index,value,stderr
(intercept),,81.3023576751,
Total Teachers (Elementary),,9.41151508077e-05,
% Teachers: Government,,0.00477770002215,
% Teachers: Private Aided,,0.865884980082,
% Teachers: Private Unaided,,0.136355061332,
Pupil-Teacher Ratio: Elementary,,-0.111083425059,
% Female Teachers,,0.00120009120146,
% SC Teachers,,-2.88734653003,
% ST Teachers,,0.0215078740299,
% OBC Teachers,,-0.294155100931,
% Teachers Recieved in-Service Training,,0.264784566911,
% Contract Teachers to Total Teachers,,-0.170967089725,
Enrolment: Classes I-V,,5.00979398917e-06,
Enrolment: Classes VI-VIII,,-3.30862984114e-06,
"Enrolment: Classes I-V, Government",,8.27979325589e-06,
"Enrolment:Cla2s5s.e0s VI-VIII,Government",,-3.50332255971e-06,
"Enrolment:7 .C3lasses I-V, Private",,9.84507981518e-05,
"Enrolment: Classes VI-VIII, Private",,0.000225841918117,
% Girls Enrolm2e6n.3t: Primary Level,,0.000720041397014,
% Girls En7ro.5lment: U.Primary Level,,0.00252739582407,
Ratio of Girls Enr.to Boys: Primary,,0.199317138504,
Ratio of Girls Enr.to Boys: U.Primary,,0.34202381221,
% SC Enrolment: Classes I-VIII,,-8.74158863262,
% ST Enrolme2n3t:. 7Classes  I-VIII,,0.0052103211191,
% OBC Enrolment: Primary Level,,-0.644561886265,
% OBC Enrolment:U.Primary Level,,-2.17969955349,
% Muslim Enro2lm5.2ent: Primary Level,,-1.09689733211,
% Muslim Enr2o1l.m4 ent: U. Primary Level,,-7.27691852775,
Ratio of Grade V to I,,-0.0068615922885,
Avg. Repetition Rate: Primary Level,,-1.11482922093,
Avg.Repetition Rate: U.Primary Level,,-2.11105167094,
Avg. Drop-out Rate4:3 P.8rimary Level,,-0.0223053151415,
Retention Rate: Primary Level,,0.550845482771,
Student-Classroom Ratio,,-0.000750005245897,
% Schools with Drinking Water,,-0.0502248337311,
% Schools with Common Toilet,,-2.16034920289,
% Schools with Boys' Toilet,,-0.0799218273342,
% Schools with Girls' Toilet,,-0.0610644404649,
% Schools with Boundarywall,,-0.00299024056398,
% School with Playground Facility,,-0.112475774764,
% Schools with Ramp,,-0.061402999071,
% Schools havining Electricity,,0.38674387368,
% Schools with Computer,,-0.0128473422805,
% Schools Providing Mid-day Meal*,,-0.125425524416,
Number of Districts3 .C6overed,,-0.000183908991496,
Total Schools,,-8.57387431772e-05,
Total Government Schools,,5.92789508547e-05,
Total Private Schools,,0.00710108618966,
Ratio of Primary to U.PrimarySch./S9.e3c.,,-1.35376694949,
Primary Sch./Sec.per 1000 Child Popln.,,-0.426769015732,
U.Prim. Sch./Sec.per 1000 Child Popln.,,1.47511552727,
% Single-Teacher Schools with Enr.≥15,,0.0932052192249,
% Enrolment in Single-Teacher Schools,,-0.0140406466643,
% Schools with Enrolm5e.2nt ≤ 50,,-0.0223511797053,
% Schools with Fema4le.7 Teachers,,-0.00679895326231,
