name,index,value,stderr
(intercept),,-114.759091814,
Total Teachers (Elementary),,-4.53359302673e-05,
% Teachers: Government,,0.2580727085,
% Teachers: Private Aided,,0.0628237357814,
% Teachers: Private Unaided,,1.15207234871,
Pupil-Teacher Ratio: Elementary,,0.9484819471,
% Female Teachers,,0.0505994434204,
% SC Teachers,,2.39505745136,
% ST Teachers,,0.783465854843,
% OBC Teachers,,0.392145692792,
% Teachers Recieved in-Service Training,,-0.076558172004,
% Contract Teachers to Total Teachers,,0.734763314454,
Enrolment: Classes I-V,,4.11377077737e-07,
Enrolment: Classes VI-VIII,,5.82893718866e-06,
"Enrolment: Classes I-V, Government",,5.90449240088e-06,
Enrolment:ClasseVI-VIIIGovernment,,1.53821859039e-05,
"Enrolment: C13la.4sses I-V, Private",,-9.34561441206e-05,
"Enrolment: Classes VI-VIII, Private",,3.3897473862e-05,
% Girls Enrolment:4 P6r.7imary Level,,0.0040198694825,
% Girls Enro1l2m.9ent: U.Primary Level,,-0.00103515103507,
Ratio of Girls Enr.to Boys: Primary,,0.825242751013,
Ratio of Girls Enr.to Boys: U.Primary,,-0.875147304512,
% SC Enrolment: Classes I-VIII,,-0.024223191077,
% ST Enrolment: C4l3a.s3ses  I-VIII,,-0.0609345015917,
% OBC Enrolment: Primary Level,,0.0140665092965,
% OBC Enrolment:U.Primary Level,,-0.0871217626434,
% Muslim Enrolm3e6n.5t: Primary Level,,0.197126614689,
% Muslim En1r8o.l6ment: U. Primary Level,,0.309292564418,
Ratio of Grade V to I,,-0.00441366664357,
Avg. Repetition Rate: Primary Level,,-10.1300600681,
Avg.Repetition Rate: U.Primary Level,,-4.12443039089,
Avg. Drop-out Ra3te7:. 8Primary Level,,1.68215532277,
Retention Rate: Primary Level,,0.212346957006,
Student-Classroom Ratio,,0.32700043422,
% Schools with Drinking Water,,-0.11148051227,
% Schools with Common Toilet,,1.60985118858,
% Schools with Boys' Toilet,,0.821434384822,
% Schools with Girls' Toilet,,-0.0911914709324,
% Schools with Boundarywall,,0.0100303657301,
% School with Playground Facility,,-0.435944852959,
% Schools with Ramp,,0.135749449897,
% Schools havining Electricity,,-0.634334458574,
% Schools with Computer,,1.46574703463,
% Schools Providing Mid-day Meal*,,-0.159995886257,
Number of Distric3ts.2 Covered,,0.540090397256,
Total Schools,,-3.35182178454e-05,
Total Government Schools,,0.000256524516862,
Total Private Schools,,-7.3104491172e-05,
Ratio of Primary to U4.P.4rimarySch./Sec.,,6.13294435548,
Primary Sch./Sec.per 1000 Child Popln.,,0.024524478335,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-1.04369944692,
% Single-Teacher Schools with Enr.≥15,,1.08071149482,
% Enrolment in Single-Teacher Schools,,1.08765044762,
% Schools with E3n.1rolment ≤ 50,,-0.428945177543,
% Schools with F3e.m1 ale Teachers,,-0.0600711098904,
