name,index,value,stderr
(intercept),,35.0255265583,
Total Teachers (Elementary),,6.79392894876e-06,
% Teachers: Government,,0.0328949426633,
% Teachers: Private Aided,,-0.141892800239,
% Teachers: Private Unaided,,0.199687812565,
Pupil-Teacher Ratio: Elementary,,-0.00402921218486,
% Female Teachers,,0.0467566988842,
% SC Teachers,,0.240079528377,
% ST Teachers,,0.98496639284,
% OBC Teachers,,0.0875868932395,
% Teachers Recieved in-Service Training,,-0.147712055178,
% Contract Teachers to Total Teachers,,-0.476703776816,
Enrolment: Classes I-V,,1.5158344312e-07,
Enrolment: Classes VI-VIII,,4.31114830163e-07,
"Enrolment: Classes I-V, Government",,3.33684725452e-07,
"Enrolment:Classe4s0 V.9I-VIII,Government",,7.47814223073e-07,
"Enrolment: Class3e3.s5 I-V, Private",,1.92426717531e-05,
"Enrolment: Classes VI-VIII, Private",,1.6716411771e-06,
% Girls Enrolment: 4P9r.im5 ary Level,,0.00239467714003,
% Girls Enrolmen34t:. 4U.Primary Level,,0.00740482241438,
Ratio of Girls Enr.to Boys: Primary,,0.188937924296,
Ratio of Girls Enr.to Boys: U.Primary,,0.43316007155,
% SC Enrolment: Classes I-VIII,,0.00332418641854,
% ST Enrolment: Cl4a6s.9ses  I-VIII,,-0.377523090541,
% OBC Enrolment: Primary Level,,0.00498382704719,
% OBC Enrolment:U.Primary Level,,0.00812197140456,
% Muslim Enrolmen4t6: .P1 rimary Level,,0.26614425322,
% Muslim Enrolme4n6t:. 5U. Primary Level,,0.320773456942,
Ratio of Grade V to I,,-0.00731030852131,
Avg. Repetition Rate: Primary Level,,-0.356410525687,
Avg.Repetition Rate: U.Primary Level,,0.706572659,
Avg. Drop-out Rate4: 6P.3rimary Level,,-0.0931469350949,
Retention Rate: Primary Level,,0.0638763299691,
Student-Classroom Ratio,,0.00336162041603,
% Schools with Drinking Water,,-0.00135651445702,
% Schools with Common Toilet,,0.0920327991326,
% Schools with Boys' Toilet,,0.00511270159471,
% Schools with Girls' Toilet,,-0.090046237704,
% Schools with Boundarywall,,0.0112507320815,
% School with Playground Facility,,0.1137232909,
% Schools with Ramp,,-0.0476952857048,
% Schools havining Electricity,,-0.254439781248,
% Schools with Computer,,1.08115072603,
% Schools Providing Mid-day Meal*,,0.0321050642556,
Number of Dist3r.i4cts Covered,,-0.000236333578192,
Total Schools,,1.75991118617e-05,
Total Government Schools,,5.48122423134e-05,
Total Private Schools,,0.00152139884474,
Ratio of Primary to U.P7.r2imarySch./Sec.,,-0.259495439138,
Primary Sch./Sec.per 1000 Child Popln.,,-0.520318149423,
U.Prim. Sch./Sec.per 1000 Child Popln.,,1.35684407344,
% Single-Teacher Schools with Enr.≥15,,-0.722254147499,
% Enrolment in Single-Teacher Schools,,-1.26561800035,
% Schools with E4n.8rolment ≤ 50,,-1.24028174545,
% Schools with F4e.5male Teachers,,0.0146619095515,
