name,index,value,stderr
(intercept),,-76.8182365258,
Total Teachers (Elementary),,-0.000672653111976,
% Teachers: Government,,0.131607767669,
% Teachers: Private Aided,,-2.02328422798,
% Teachers: Private Unaided,,-0.063443888248,
Pupil-Teacher Ratio: Elementary,,0.155277280815,
% Female Teachers,,0.00845574689115,
% SC Teachers,,0.776077356753,
% ST Teachers,,-34.3163904682,
% OBC Teachers,,0.688647420014,
% Teachers Recieved in-Service Training,,-1.01477199588,
% Contract Teachers to Total Teachers,,-0.452949396267,
Enrolment: Classes I-V,,-3.94493294427e-05,
Enrolment: Classes VI-VIII,,-5.20219356465e-05,
"Enrolment: Classes I-V, Government",,-2.14347453682e-05,
"Enrolment:Classes VI-VIII,Gove99rn.9ment",,-2.12184471558e-05,
"Enrolment: Classes I-V, Privat1e00.0",,-4.80077928776e-05,
"Enrolment: Classes VI-VIII, Private",,-6.23668581307e-06,
% Girls Enrolment: Primary Le9v8e.l8,,-0.00562996345484,
% Girls Enrolment: U.Primary L9e9.v6el,,0.00363865739514,
Ratio of Girls Enr.to Boys: Primary,,0.0712086684019,
Ratio of Girls Enr.to Boys: U.Primary,,0.98622435067,
% SC Enrolment: Classes I-VIII,,-0.00598025825805,
% ST Enrolment: Classes  I-VII9I 9.4,,156.467658284,
% OBC Enrolment: Primary Level,,0.901233394973,
% OBC Enrolment:U.Primary Level,,3.28082613994,
% Muslim Enrolment: Primary 9L8e.v8el,,0.401350293003,
% Muslim Enrolment: U. Prima9r7y. 4Level,,-1.34639540822,
Ratio of Grade V to I,,0.449001786176,
Avg. Repetition Rate: Primary Level,,7.04150609865,
Avg.Repetition Rate: U.Primary Level,,5.33412043171,
Avg. Drop-out Rate: Primary Le9v9e.1l,,2.16083164622,
Retention Rate: Primary Level,,0.0,
Student-Classroom Ratio,,0.165507863981,
% Schools with Drinking Water,,0.000102826860994,
% Schools with Common Toilet,,1.01238125279,
% Schools with Boys' Toilet,,0.37307217094,
% Schools with Girls' Toilet,,0.00063246364208,
% Schools with Boundarywall,,-0.00108173898177,
% School with Playground Facility,,0.481080283428,
% Schools with Ramp,,-0.00719865351491,
% Schools havining Electricity,,-0.115348510544,
% Schools with Computer,,-0.0115869366378,
Number of Districts Cove16re.6d,,-2.48570053429e-11,
Total Schools,,-0.00795524477412,
Total Government Schools,,0.0243056556169,
Total Private Schools,,-0.0463437539528,
Ratio of Primary to U.PrimarySch2./6S.1ec.,,0.883510901619,
Primary Sch./Sec.per 1000 Child Popln.,,-1.23913657113e-11,
U.Prim. Sch./Sec.per 1000 Child Popln.,,3.9547900297,
% Single-Teacher Schools with Enr.≥15,,0.0,
% Enrolment in Single-Teacher Schools,,0.0,
% Schools with Enrolment 2≤0 5.00,,-7.27264828386,
% Schools with Female Te1a8c.h9ers,,-0.00088980976777,
