indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),331513,316721,327391,330200,333774,334676,474211,508788,542188,557801
% Teachers: Government,-,47.1,45.8,45.5,45.2,44.8,44,42.9,48.3,48.5
% Teachers: Private Aided,-,19.5,18.9,17.7,16.8,16.7,17.2,16.2,15,14.6
% Teachers: Private Unaided,-,33.4,35.4,36.8,37.7,38.1,38.5,40.8,36.6,36.7
Pupil-Teacher Ratio: Elementary,29,31,30,30,29,29,20,18,17,17
% Female Teachers,69.5,73.9,75,76.7,77.4,78.1,73.1,73.7,73.6,73.9
% SC Teachers,-,13.2,13.6,13.7,14.1,14.4,14.7,14.6,15.1,15.1
% ST Teachers,-,0.7,0.7,0.9,1,1,0.8,0.9,0.9,0.9
% OBC Teachers,-,76.7,76.7,76.7,76.4,76.3,76.2,76.3,76.6,77.4
% Teachers Recieved in-Service Training,45,53.8,53.5,54.3,53.6,53.7,36.2,34.8,30.6,32.8
Enrolment: Classes I-V,6186218,6123687,6148411,6190928,6110219,6040051,6021843,5769685,5753734,5750359
Enrolment: Classes VI-VIII,3568479,3719066,3730210,3733633,3687045,3736201,3656633,3626756,3498733,3485833
"Enrolment: Classes I-V, Government",-,2903299,2711939,2624309,2479317,2410068,2248509,2217124,2473356,2485526
"Enrolment:Classes VI-VIII,Gov94e.r5nment",-,1996596,1898966,1836165,1794209,1816157,1665054,1641048,1686895,1685036
"Enrolment: Classes I-V, Priva88te.9",-,3220388,3436472,3566619,3620171,3612093,3758369,3546525,3273884,3249633
"Enrolment: Classes VI-VIII, Private",-,1722470,1831244,1897468,1892019,1917200,1989329,1983638,1810388,1797996
% Girls Enrolment: Primary Le9v6e.1l,48.3,48.4,48.5,48.6,48.6,48.6,48.7,48.7,48.7,48.8
% Girls Enrolment: U.Primar8y7 L.6evel,48.1,48.1,48,48.2,48.3,48.4,48.9,48.7,48.7,48.7
Ratio of Girls Enr.to Boys: Primary,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.92,0.93,0.92,0.93,0.94,0.94,0.96,0.95,0.95,0.95
% SC Enrolment: Classes I-VIII,24.8,24.7,24.5,24.5,24.4,24.3,24.4,24.2,24.3,24
% ST Enrolment: Classes  I-VII9I7.2,1.8,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7
% OBC Enrolment: Primary Level,68.5,68.9,69.5,68.8,68.8,69.2,69.3,70,70.1,70.6
% OBC Enrolment:U.Primary Level,68.9,69.2,69.5,68.8,68.8,69.1,69.4,70,70.3,71.1
% Muslim Enrolment: Primary 9L7e.v0el,-,4.7,4.5,5.3,5.5,5.8,5.9,6.2,6,5.9
% Muslim Enrolment: U. Prim9a3r.y5 Level,-,4.7,4.5,5.1,5.4,5.5,5.8,5.9,5.7,5.7
Ratio of Grade V to I,97,100,-,-,-,-,-,-,-,-
Avg. Repetition Rate: Primary Level,1.6,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,2.7,2,1.3,0.5,0.1,0.2,0.1,0.2,0.2
Avg. Drop-out Rate: Primary Level,2,1.7,0.2,0.2,1.2,1,0.6,4.1,0.5,-
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,0.28,4.41,1.24,4.52,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,10.2,12.2,8.1,-
Retention Rate: Primary Level,-,100,97.1,-,-,-,-,96.3,97.9,98.6
Transition Rate: Primary to U.Primary,-,97.2,98.6,98.9,96.7,98.6,94.9,95.4,97.8,95
Student-Classroom Ratio,27,29,28,27,27,26,28,27,26,25
% Schools with Drinking Water,96.2,100,100,99.9,100,100,99.2,100,99.8,100
% Schools with Common Toilet,55.7,65.6,66.7,47.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.7,60.3,84.9,62.6,99.6,100,99.7
% Schools with Girls' Toilet,55.1,62.3,64.2,69.2,71.7,75.3,95.6,90.5,99.1,99.9
% Schools with Boundarywall,61.9,62.6,62.1,67,71.9,74.6,77.1,78.4,79.7,80.2
% School with Playground Facility,-,-,-,80.1,76.7,77.6,75.1,76,76.4,77
% Schools with Ramp,17.8,43.7,45.9,57.1,58.8,62.3,85,85.2,68.3,72.8
% Schools havining Electricity,-,-,81,91.3,94.6,96.6,96.5,97,98.5,99.1
% Schools with Computer,19.6,24.3,32.1,38.6,47.4,49.6,53.1,54.1,57.3,57.6
% Schools Providing Mid-day Meal*,-,-,-,97.7,98,97.6,98.5,98.8,97.5,97.1
Number of Districts 4C.7overed,30,30,30,30,30,30,30,30,30,30
Total Schools,51574,53307,53890,54428,55175,55753,56535,56785,57153,57539
Total Government Schools,-,35336,35436,35616,36122,36575,36940,37000,37902,38200
Total Private Schools,-,17971,18454,18812,18907,18966,19402,19735,19161,19163
Ratio of Primary to U.PrimarySch./Sec.,2.7,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,9,9,6,9,9,9,9,9,9,9
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6,9,7,7,7,7,6,6,6
% Single-Teacher Schools with Enr.≥15,3.1,2.6,2,2.1,2.3,2.8,3.6,1.9,2.1,1.9
% Enrolment in Single-Teacher Schools,1,0.8,0.6,0.6,0.6,0.8,0.9,0.5,0.6,0.5
% Schools with Enrolm6e.2nt ≤ 50,24,26.8,27.9,28.9,30,31.6,31.9,33.5,33.8,31.3
% Schools with Fe4m.2ale Teachers,92,93.5,93.9,94.6,95.1,95.2,96,96.1,96.1,96.1
