indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),-,-,-,-,-,-,-,-,245914,229268
% Teachers: Government,-,-,-,-,-,-,-,-,52.1,55.8
% Teachers: Private Aided,-,-,-,-,-,-,-,-,1.7,1.6
% Teachers: Private Unaided,-,-,-,-,-,-,-,-,45.2,41.6
Pupil-Teacher Ratio: Elementary,-,-,-,-,-,-,-,-,20,22
% Female Teachers,-,-,-,-,-,-,-,-,50.8,49.8
% SC Teachers,-,-,-,-,-,-,-,-,11.4,11.7
% ST Teachers,-,-,-,-,-,-,-,-,7.2,7.9
% OBC Teachers,-,-,-,-,-,-,-,-,44.6,44.1
% Teachers Recieved in-Service Training,-,-,-,-,-,-,-,-,19.7,15.1
Enrolment: Classes I-V,-,-,-,-,-,-,-,-,3191573,3246976
Enrolment: Classes VI-VIII,-,-,-,-,-,-,-,-,1727617,1758209
"Enrolment: Classes I-V, Government",-,-,-,-,-,-,-,-,1393762,1349110
"Enrolment:Classes VI-VIII,Government",-,-,-,-,-,-,-,-,893619,889611
"Enrolment: Classes I-V, Private",-,-,-,-,-,-,-,-,1736994,1833549
"Enrolment: Classes VI-VIII, Private",-,-,-,-,-,-,-,-,825733,857295
% Girls Enrolment: Primary Level,-,-,-,-,-,-,-,-,48.4,48.3
% Girls Enrolment: U.Primary Level,-,-,-,-,-,-,-,-,49.1,48.9
Ratio of Girls Enr.to Boys: Primary,-,-,-,-,-,-,-,-,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,-,-,-,-,-,-,-,-,0.96,0.96
% SC Enrolment: Classes I-VIII,-,-,-,-,-,-,-,-,16.8,16.4
% ST Enrolment: Classes  I-VIII,-,-,-,-,-,-,-,-,12.1,11.8
% OBC Enrolment: Primary Level,-,-,-,-,-,-,-,-,46.7,45.8
% OBC Enrolment:U.Primary Level,-,-,-,-,-,-,-,-,48.1,47.5
% Muslim Enrolment: Primary Level,-,-,-,-,-,-,-,-,14.4,14.7
% Muslim Enrolment: U. Primary Level,-,-,-,-,-,-,-,-,12.4,12.8
Ratio of Grade V to I,-,-,-,-,-,-,-,-,87,86
Avg. Repetition Rate: Primary Level,-,-,-,-,-,-,-,-,0.1,0
Avg.Repetition Rate: U.Primary Level,-,-,-,-,-,-,-,-,0,0
Avg. Drop-out Rate: Primary Level,-,-,-,-,-,-,-,-,5.8,2.1
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,77,79.7
Transition Rate: Primary to U.Primary,-,-,-,-,-,-,-,-,95.5,98.2
Student-Classroom Ratio,-,-,-,-,-,-,-,-,20,23
% Schools with Drinking Water,-,-,-,-,-,-,-,-,93.4,93.8
% Schools with Common Toilet,-,-,-,-,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,-,-,-,-,-,95.3,100
% Schools with Girls' Toilet,-,-,-,-,-,-,-,-,73.9,100
% Schools with Boundarywall,-,-,-,-,-,-,-,-,69,69
% School with Playground Facility,-,-,-,-,-,-,-,-,61.2,60.6
% Schools with Ramp,-,-,-,-,-,-,-,-,54.5,63.1
% Schools havining Electricity,-,-,-,-,-,-,-,-,90.9,91.5
% Schools with Computer,-,-,-,-,-,-,-,-,37.5,34.7
% Schools Providing Mid-day Meal*,-,-,-,-,-,-,-,-,96,96.2
Number of Districts Covered,-,-,-,-,-,-,-,-,10,10
Total Schools,-,-,-,-,-,-,-,-,43839,40818
Total Government Schools,-,-,-,-,-,-,-,-,28822,28679
Total Private Schools,-,-,-,-,-,-,-,-,14438,11541
Ratio of Primary to U.PrimarySch./Sec.,-,-,-,-,-,-,-,-,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,10,11
U.Prim. Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,9,10
% Single-Teacher Schools with Enr.≥15,-,-,-,-,-,-,-,-,11.1,7.5
% Enrolment in Single-Teacher Schools,-,-,-,-,-,-,-,-,4.8,3.9
% Schools with Enrolment ≤ 50,-,-,-,-,-,-,-,-,36.9,38.5
% Schools with Female Teachers,-,-,-,-,-,-,-,-,83.7,82.4
