indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),30344,31090,30003,28242,32004,32162,42222,42975,47255,46613
% Teachers: Government,-,92.2,91.9,92.8,93,91.7,88.9,87.4,87.7,86.4
% Teachers: Private Aided,-,3.4,3.5,1.9,1.7,2.4,3.3,3.2,2.8,2.8
% Teachers: Private Unaided,-,4.4,4.6,5.2,4.7,5.5,7.3,8.1,8.1,9.4
Pupil-Teacher Ratio: Elementary,23,22,23,24,19,19,14,14,12,12
% Female Teachers,25.4,24.8,25.1,25.2,26.4,26.9,28.9,29,28.9,29.2
% SC Teachers,-,13.6,13.6,13.9,14.6,14.7,15,15,15.2,15.2
% ST Teachers,-,33.4,33.8,37.5,37.1,37.7,32.9,33,33,33.2
% OBC Teachers,-,16.5,17.1,16.4,16.8,16.6,17,17.1,17.6,17.5
% Teachers Recieved in-Service Training,21.3,33.6,22.8,33.9,20.1,26.5,19.8,18.1,19.3,20.5
% Contract Teachers to Total Teachers,3.2,3,3.1,2.1,7.1,2,-,-,17.7,19.3
Enrolment: Classes I-V,500491,464985,463521,444516,394418,384760,391556,386530,374462,366868
Enrolment: Classes VI-VIII,197196,209088,219846,219303,215680,218820,214474,203700,202753,202644
"Enrolment: Classes I-V, Government",-,430472,424688,400681,359009,338676,340391,318032,306400,291870
"Enrolment:Classes4 1V.8I-VIII,Government",-,191244,198934,200493,198844,197500,194178,180927,179466,176247
"Enrolment: Cl2a1s.s2es I-V, Private",-,34513,38833,43835,35409,43826,44307,51889,51666,59178
"Enrolment: Classes VI-VIII, Private",-,17844,20912,18810,16836,19415,19671,22031,22476,25515
% Girls Enrolment:4 P6r.3imary Level,47.7,48.3,48.7,48.7,49,49,49,49,49,48.9
% Girls Enrolmen3t6: .U2 .Primary Level,48.7,49.1,49,49.2,49.1,49,48.9,49,49.3,49.4
Ratio of Girls Enr.to Boys: Primary,0.91,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.95,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.97,0.97
% SC Enrolment: Classes I-VIII,19.2,19.5,20,19.6,19.7,19.5,17.9,18.7,18.8,18.7
% ST Enrolment: C41la.4sses  I-VIII,38.7,39,39.6,40.2,39.7,38.5,39.4,38.6,38.5,38.6
% OBC Enrolment: Primary Level,14.9,15.8,15.9,15.5,16.3,16.6,16.1,16.6,16.6,16.6
% OBC Enrolment:U.Primary Level,22,22.2,21.9,21.3,20.8,20.1,19.2,19.6,19.3,19.2
