indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),527035,644426,651338,697890,728755,802442,953808,974120,1009333,1018912
% Teachers: Government,-,69.4,67.5,67.7,67.4,63.4,57.8,55.1,53.4,52
% Teachers: Private Aided,-,5.2,5.6,5.5,5.5,5.2,8.9,9.2,8.6,8.1
% Teachers: Private Unaided,-,25.4,26.9,26.8,26.8,30.7,31.3,33.7,36.1,37.9
Pupil-Teacher Ratio: Elementary,57,50,50,45,44,44,39,38,36,36
% Female Teachers,32.4,36.3,37.5,39.1,39.6,40.1,38,38,39.1,39.9
% SC Teachers,-,14.1,14.2,14.6,15,15,14.1,14.4,14.7,14.6
% ST Teachers,-,0.8,0.8,0.8,0.9,1,1,1,1,1
% OBC Teachers,-,36.5,37.2,37.7,38.1,38.2,36.6,38.1,38.9,39.4
% Teachers Recieved in-Service Training,22.4,15,15.9,14,12,11,13.1,10.5,9.9,2.1
% Contract Teachers to Total Teachers,18.2,25.9,26.3,25.1,24.1,22.2,-,-,16.5,10.5
Enrolment: Classes I-V,24342931,25101907,24943369,23933247,24043102,26188803,26671203,25941586,25806929,25270348
Enrolment: Classes VI-VIII,5831921,6974476,7414932,7604400,7975985,9215942,10427087,10784914,11031791,11155285
"Enrolment: Classes I-V, Government",-,18590177,17466598,15840012,15430350,15049324,14159320,13523506,13070057,12744955
"Enrolment:Classes VI-VIII,G8o4v.6ernment",-,3918641,4021055,4052960,4259229,4494100,4460533,4188647,4026868,3857774
"Enrolment: Class3e3s.7 I-V, Private",-,6511730,7476771,8093235,8534809,10882447,11937930,11694774,11992756,11762789
"Enrolment: Classes VI-VIII, Private",-,3055835,3393877,3551440,3702551,4658110,5864099,6365946,6847725,7114078
% Girls Enrolment: Primary8 L4e.0vel,47.8,49.2,49.4,49.5,49.4,48.7,48.8,48.6,48.8,48.8
% Girls Enrolme3n4t:. 0U.Primary Level,45.3,48.5,49.2,50.1,50.6,50.4,50.6,50.1,50,49.9
Ratio of Girls Enr.to Boys: Primary,0.91,0.97,0.98,0.98,0.98,0.95,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.83,0.94,0.97,1,1.03,1.02,1.02,1,1,0.99
% SC Enrolment: Classes I-VIII,27.7,27.3,27,27.2,27.9,26.9,27.7,27.5,28.2,28.1
% ST Enrolment: Classes  8I-0V.4III,0.7,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8
% OBC Enrolment: Primary Le1v00e.l0,47.7,50.5,49.9,50.8,49.7,50.3,50.2,51.3,51.4,52.2
% OBC Enrolment:U.Primary Level,44.1,47.8,49,50.5,50.3,51.4,50.6,51.1,50.7,50.5
% Muslim Enrolment: Prim7a5.r1y Level,-,9.3,9.6,10.3,10.4,10.2,14.1,14.7,14,13.3
% Muslim Enrolm33e.6nt: U. Primary Level,-,7.3,7.6,8.2,8.1,8.1,10.8,11.8,11.6,10.9
Ratio of Grade V to I,62,73,81,80,85,83,79,82,87,86
Avg. Repetition Rate: Primary Level,1.8,1.4,1.1,0.6,2,1.6,1.3,0.6,0.6,0.3
Avg.Repetition Rate: U.Primary Level,-,0.7,0.8,0.4,2.2,1.8,1.7,0.9,0.7,0.4
Avg. Drop-out Rate: Prima7r7y. 2Level,11.5,16.2,12.7,16.7,11.1,11.9,7.1,10.3,7.1,8.6
Retention Rate: Primary Level,-,74.4,74,69.6,69.9,80.4,87.4,87.8,90.1,81
Transition Rate: Primary to U.Primary,-,62.8,63.6,61.5,64.9,72,74,76.9,78.5,79.1
Student-Classroom Ratio,48,41,39,36,35,34,32,31,31,30
% Schools with Drinking Water,94.9,97.7,97.6,98.2,98.2,98.5,98,98.2,98.6,98.7
% Schools with Common Toilet,80.8,91,92.7,44,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,43.3,50.3,87.8,95.5,99,99.3,99.8
% Schools with Girls' Toilet,69.4,82.4,84.2,71.9,76.3,81.3,98,97.1,98,99.8
% Schools with Boundarywall,43.6,46.6,48,51.7,53.7,62.4,65.4,68,71.4,72.3
% School with Playground Facility,-,-,-,66,76.2,78.2,73.4,71.6,71,70.5
% Schools with Ramp,12.4,52.5,56.1,59,71.8,73.3,90.6,90.4,84.7,86.5
% Schools havining Electricity,-,-,18.4,25.5,29.3,34.8,38.5,39.2,52.6,53.3
% Schools with Computer,3.6,3.3,3.6,4.7,5.5,7.5,10.2,11.1,12.5,13
% Schools Providing Mid-day Meal*,-,-,-,82.2,79,89.2,87.9,83,93.6,97.1
Number of Districts 4C.0overed,70,70,70,71,71,72,75,75,75,75
Total Schools,161869,180058,186741,195089,201475,221653,239817,240332,243014,245919
Total Government Schools,-,135484,140219,147042,151465,154668,163078,160752,160942,161329
Total Private Schools,-,44485,46474,48019,49548,65713,73656,74897,78094,80385
Ratio of Primary to U.Prim6a.0rySch./Sec.,3,2.6,2.4,2.3,2.1,2.1,2,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,6,4,6,6,7,7,6,6,6
U.Prim. Sch./Sec.per 1000 Child Popln.,3,4,6,5,5,6,6,6,6,6
% Single-Teacher Schools with Enr.≥15,7.2,5.5,6.9,7.2,8,8.6,12.7,8.8,8.7,8.1
% Enrolment in Single-Teacher Schools,4.4,3.3,4.1,4.2,4.6,6.6,6.4,6.6,6.3,6.7
% Schools with Enrolm4.8ent ≤ 50,9.1,9.3,10.5,12.1,12.2,12.7,16.1,16.2,15.8,16
% Schools with Fema4.le3 Teachers,64.2,73.5,75.6,77.8,78.2,78.2,78.3,77.9,76.8,75.1
