indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),51507,60427,65531,68605,72668,74498,93383,98224,101847,109374
% Teachers: Government,-,73.6,67.9,65.7,62.6,59.4,61.7,61.8,60.6,59.8
% Teachers: Private Aided,-,5.1,4.4,3.9,3.9,3.9,4.3,4.6,4.3,4.1
% Teachers: Private Unaided,-,21.3,27.7,30.5,31,34.2,32.7,32.4,33.6,34.5
Pupil-Teacher Ratio: Elementary,26,25,24,23,23,22,18,17,17,16
% Female Teachers,45.2,46.2,46.4,47.2,47.7,49.1,45.3,45.9,46.6,47.2
% SC Teachers,-,11.3,11.3,11.1,11.4,11.2,11.2,11.9,12.1,12.5
% ST Teachers,-,2.8,2.8,2.7,2.6,2.7,2.7,2.9,3,3
% OBC Teachers,-,13.7,14.6,14.9,15.1,15.5,13.7,14.2,14.3,14.6
% Teachers Recieved in-Service Training,46.3,43.6,51.9,48.3,54.3,50.3,30.9,24.5,23,19.2
Enrolment: Classes I-V,953477,1056943,1075825,1044735,1084260,1091485,1086082,1117123,1122802,1115208
Enrolment: Classes VI-VIII,394219,476069,522647,534994,554232,567433,582381,587767,584655,597465
"Enrolment: Classes I-V, Government",-,757217,721382,656353,615283,575848,548191,526354,495672,469438
"Enrolment:Classes VI-VIII,8G0o.5vernment",-,326750,342861,335334,325949,316850,316484,305986,295771,287771
"Enrolment: Classe4s3 I.-6V, Private",-,299726,354443,388382,437873,472646,511465,564311,592112,604750
"Enrolment: Classes VI-VIII, Private",-,149319,179786,199660,224122,239685,262351,277713,283495,302326
% Girls Enrolment: Primary8 L4e.4vel,49.5,48.8,48.3,48.1,47.7,47.4,47.5,47.3,47.2,47.2
% Girls Enrolment:4 2U..9Primary Level,48.8,48.8,48.6,48.8,48.6,48.4,48.6,48.1,48,47.8
Ratio of Girls Enr.to Boys: Primary,0.98,0.95,0.93,0.93,0.91,0.9,0.9,0.9,0.89,0.89
Ratio of Girls Enr.to Boys: U.Primary,0.95,0.95,0.95,0.95,0.94,0.94,0.95,0.92,0.92,0.92
% SC Enrolment: Classes I-VIII,26.1,26.2,26.1,25.8,25.8,25.7,24.8,24.3,24.1,24.1
% ST Enrolment: Classes  I8-V3.I5II,3.9,3.8,3.5,3,3.4,3.1,3.2,3.1,2.9,2.9
% OBC Enrolment: Primary Level,21.7,23.6,25.5,24.5,26.1,27.6,27.4,28.5,29.6,29.9
% OBC Enrolment:U.Primary Level,14,16.8,18.7,18.8,19.9,20.8,21.4,22.2,23.1,23.9
% Muslim Enrolment: Prima80ry.4 Level,-,14.8,13.8,15.4,17.1,17.6,16.1,15.2,16.5,16.4
% Muslim Enrolme4n5t:. 8U. Primary Level,-,8.1,7.4,8.9,10.2,11,11,10.7,11.5,11.5
Ratio of Grade V to I,67,78,80,82,80,81,86,88,91,89
Avg. Repetition Rate: Primary Level,7.4,5.7,4.5,3.7,5.3,4.9,1.1,0.5,0.9,0.6
Avg.Repetition Rate: U.Primary Level,-,5.9,3.9,3.3,3.3,2.3,0.7,0.5,0.8,0.6
Avg. Drop-out Rate: Primary8 L5.e5vel,14.1,6.9,7,9.9,5.8,4.9,4.3,1.2,3.1,4
Retention Rate: Primary Level,-,73.1,76,80.6,92.7,82.3,83.3,89,85.5,86.2
Transition Rate: Primary to U.Primary,-,-,94.5,91.8,95.2,92.8,95,95.9,92.8,93.5
Student-Classroom Ratio,22,20,20,19,19,19,19,19,18,18
% Schools with Drinking Water,75.4,87,87.2,89.6,93,95.6,95.6,95.8,95.4,96.5
% Schools with Common Toilet,67.6,84.5,85.6,59.6,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,32.9,40,93.2,61.6,99.3,99.1,97.5
% Schools with Girls' Toilet,41.6,52.1,52.2,58.3,52.1,77.6,93.6,92.4,94.3,97.2
% Schools with Boundarywall,51.8,70.9,75.8,77.6,79.6,81,80.1,80.5,82.5,82.1
% School with Playground Facility,-,-,-,62.7,57.6,56.9,57.2,57.3,58.6,58.2
% Schools with Ramp,6,29.3,33.7,35,36.7,43.5,80,81.9,84.6,84.6
% Schools havining Electricity,-,-,32.6,36.2,40.8,53.6,61,65.3,77.2,78.8
% Schools with Computer,14.2,22.6,22.3,24.1,25.1,29.5,31.1,32,33,33.4
% Schools Providing Mid-day Meal*,-,-,-,95.1,95,97.3,97.5,97.9,98.1,98.3
Number of Distric2t.9s Covered,13,13,13,13,13,13,13,13,13,13
Total Schools,18907,20610,21583,22127,22720,23207,23338,23425,23665,23660
Total Government Schools,-,16971,17286,17327,17344,17500,17460,17426,17505,17505
Total Private Schools,-,3639,4295,4800,5024,5326,5600,5716,5817,5787
Ratio of Primary to U.Primar6y.8Sch./Sec.,2.9,2.7,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,14,16,11,17,17,17,18,16,16,16
U.Prim. Sch./Sec.per 1000 Child Popln.,8,10,16,12,12,13,13,11,12,12
% Single-Teacher Schools with Enr.≥15,14.7,12,12.3,9.5,10.9,12.2,8.1,4.6,4.4,3.3
% Enrolment in Single-Teacher Schools,9.5,7.8,7.3,5.9,6.3,7,4.7,3.5,3.6,2.9
% Schools with En3ro.9lment ≤ 50,51.2,51.9,52.9,55.5,57.4,59.1,59.3,61.5,62.6,63.6
% Schools with F2e.9male Teachers,71.6,72.5,74.3,74.2,75.7,77.1,77.4,100,75,76.2
