indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),234278,274052,272923,381018,494297,529703,537047,536830,566484,565646
% Teachers: Government,-,92.9,91.8,82.3,83.9,84.6,82.8,81.6,81.3,80.3
% Teachers: Private Aided,-,4.9,5.4,1.4,0.8,0.6,0.7,0.7,0.6,0.4
% Teachers: Private Unaided,-,2.2,2.8,16.4,11.2,10.7,12.4,13.1,13.5,14.7
Pupil-Teacher Ratio: Elementary,54,48,47,39,30,28,27,25,23,23
% Female Teachers,27.7,32.4,33.6,43.1,41.2,41,41.6,42,42.2,42.6
% SC Teachers,-,19.5,19.6,18.1,18.8,19.3,19.3,19.4,19.6,19.6
% ST Teachers,-,4.5,4.6,4.1,4.4,4.5,4.6,4.8,4.7,4.6
% OBC Teachers,-,6.7,7,7.1,7.5,7.9,8.4,8.9,10,10.5
% Teachers Recieved in-Service Training,33.1,51.6,50.6,42.1,28.9,32.7,36.3,23.1,16.6,10.1
Enrolment: Classes I-V,9005975,9463730,9013013,10545319,10231570,10086047,9731912,8437717,8163021,8131797
Enrolment: Classes VI-VIII,3586358,3807261,3944515,4495475,4700195,4741910,4748869,4842905,4852086,4777237
"Enrolment: Classes I-V, Government",-,8314874,7996328,9295090,9120325,8875151,8573022,7333775,7056511,6858090
"Enrolment:Classes VI-VIII,7G8.o5vernment",-,3228091,3328645,4083078,4317590,4350663,4399322,4477080,4468815,4335795
"Enrolment: C1la8s.8ses I-V, Private",-,1148856,1016685,1250229,869119,910278,871604,829700,826590,965528
"Enrolment: Classes VI-VIII, Private",-,579170,615870,412397,155451,155191,125119,133359,136712,177908
% Girls Enrolment: P5r3im.2ary Level,49.6,49.1,49.2,49.4,49.4,49.5,49.4,49.2,49,49
% Girls Enrol1m9e.1nt: U.Primary Level,49,49.6,50.3,51.4,51.6,51.9,52,52,51.8,51.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.96,0.97,0.98,0.98,0.98,0.98,0.97,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.96,0.98,1.01,1.06,1.07,1.08,1.08,1.08,1.07,1.07
% SC Enrolment: Classes I-VIII,27.7,26.8,27.4,26.6,26.6,27.2,27.1,27.6,27.6,26.9
% ST Enrolment: Cla5s2s.e5s  I-VIII,6.2,6.3,6.3,6.8,6.9,7.1,7.1,7.2,7.2,7.1
% OBC Enrolment: Primary Level,4.5,4.5,4.7,4.3,4.6,4.9,7.5,10.1,10.8,11.6
% OBC Enrolment:U.Primary Level,8.4,8.8,8.8,8.7,9.2,9.5,11.5,14.3,15.5,16.5
% Muslim Enrolment5: 1P.6rimary Level,-,28.1,28.3,32.3,31.7,32.2,32.3,33.2,34.5,35.1
% Muslim En1ro9.lm5 ent: U. Primary Level,-,18.9,20.1,26.5,26.7,28.8,28,29.6,30.8,31.4
Ratio of Grade V to I,80,74,79,69,73,75,77,-,98,97
Avg. Repetition Rate: Primary Level,13.6,13.1,12,9,11.2,10.9,9.2,4.6,1.9,1.3
Avg.Repetition Rate: U.Primary Level,-,19.8,15.5,7.9,8.7,7.4,5.6,2,0.8,0.6
Avg. Drop-out Rate: 5P0r.i9mary Level,11.6,9.4,8,8.7,6.5,6.6,6.6,6.3,2.9,1.5
Retention Rate: Primary Level,-,51.9,58.2,73.5,68.5,81.4,75,60.8,62.7,65.2
Transition Rate: Primary to U.Primary,-,79.5,69.9,85.9,82.4,83.7,84.2,92.4,96,97.7
Student-Classroom Ratio,55,51,47,42,40,41,37,32,30,29
% Schools with Drinking Water,83,78.8,82.7,96,95.4,97.2,97.4,97.8,97.9,98.4
% Schools with Common Toilet,65.4,69,74.3,80,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,16,32.7,85.4,39.9,94,96.5,97.7
% Schools with Girls' Toilet,30.6,35.1,41.2,48.9,48.8,54.7,74.9,71.7,86.9,98.3
% Schools with Boundarywall,32.9,41.4,40.1,0,32.7,35.6,36.1,39.7,43.1,43.5
% School with Playground Facility,-,-,-,36.8,34.3,32.3,33.1,34.5,38.4,40.4
% Schools with Ramp,8.9,53.4,57.3,49.6,49.2,47.7,87.6,89.3,90.2,91.9
% Schools havining Electricity,-,-,24.9,26.5,28.8,31.7,35.5,41,57,74.9
% Schools with Computer,4.5,5,5.9,7.5,8.7,8.8,9.7,10.8,12.1,12.7
Number of Districts 4C.0overed,20,20,20,20,20,20,20,20,21,21
Total Schools,59223,70010,70771,88556,90187,92066,94572,94958,95572,95723
Total Government Schools,-,57461,57344,77181,79119,81363,82259,81915,82444,82737
Total Private Schools,-,12523,13427,11362,8708,8273,9445,9657,9725,9754
Ratio of Primary to U.P5r.i0marySch./Sec.,5.3,5.6,5.5,5.5,5.1,4.7,4.5,4.4,4.3,4.2
Primary Sch./Sec.per 1000 Child Popln.,6,7,2,10,10,10,10,10,10,10
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2,8,3,3,3,3,4,4,4
% Single-Teacher Schools with Enr.≥15,4.9,3.1,4,5.5,2.6,2.7,3.3,3.2,2.6,3
% Enrolment in Single-Teacher Schools,2.1,1.2,1.5,2.3,1,1,1.1,1.3,1,1.1
% Schools with Enro4l.m3 ent ≤ 50,8.8,15.3,18.4,15.8,18.5,19.8,23,30.4,32.6,33.3
% Schools with Fem4a.1le Teachers,52.8,68.5,70.4,73,74.1,75,74.8,75,75,75
