,primary_2013-14,primary_2014-15,primary_2015-16,upper_primary_2010-11,upper_primary_2011-12,upper_primary_2012-13,upper_primary_2013-14,upper_primary_2014-15,upper_primary_2015-16,elementary_2014-15,secondary_2013-14,secondary_2014-15,higher_2013-14,higher_2014-15
Andaman & Nicobar Islands,1.21,0.51,0.51,2.37,1.87,1.23,0.51,1.69,1.69,0.95,7.2,9.87,15.87,16.93
Andhra Pradesh,4.35,6.72,6.72,6.83,4.79,3.36,3.78,5.2,5.2,6.18,12.65,15.71,11.79,-
Arunachal Pradesh,10.89,10.82,10.82,0.98,4.98,7.47,5.59,6.71,6.71,9.54,14.49,17.11,17.07,18.42
Assam,7.44,15.36,15.36,3.61,10.16,7.2,7.05,10.51,10.51,13.87,30.43,27.06,7.24,-
Bihar,2.09,-,-,2.91,10.55,-,2.98,4.08,4.08,1.13,25.33,25.9,-,-
Chandigarh,-,-,-,-,-,0.1,1.08,0.44,0.44,-,-,-,11.28,10.55
Chhattisgarh,1.42,2.91,2.91,1.72,3.68,5.42,3.8,5.85,5.85,3.99,23.41,21.26,-,2.76
Dadra & Nagar Haveli,1.57,1.47,1.47,2.25,2.15,3.38,4.13,4.02,4.02,2.47,28.59,16.77,6.24,9.47
Daman & Diu,0.85,1.11,1.11,1.46,5.58,-,3.56,3.11,3.11,1.82,19.86,32.27,9.86,40.48
Delhi,-,-,-,-,-,-,2.78,0.76,0.76,-,8.9,11.81,16.25,17.32
Goa,0.2,0.73,0.73,3.26,-,-,-,0.07,0.07,0.49,9.58,11.15,13.36,13.91
Gujarat,0.76,0.89,0.89,29.33,-,5.2,5.55,6.41,6.41,2.93,21.61,25.04,7.83,7.04
Haryana,0.41,5.61,5.61,-,-,0.46,2.55,5.81,5.81,5.68,12.51,15.89,2.18,5.75
Himachal Pradesh,0.46,0.64,0.64,0.9,-,0.51,0.78,0.87,0.87,0.73,9.09,6.07,7.07,7.41
Jammu And Kashmir,5.46,6.79,6.79,4.42,6.78,5.52,4.3,5.44,5.44,6.35,15.36,17.28,7.64,12.65
Jharkhand,6.41,5.48,5.48,6.39,7.09,5.47,7.42,8.99,8.99,6.59,23.15,24,-,3.41
Karnataka,2.32,2.02,2.02,36.39,5.4,5.05,2.51,3.85,3.85,2.67,27.57,26.18,-,1.96
Kerala,-,-,-,1.2,-,-,-,-,-,-,14.46,12.32,6.4,0.47
Lakshadweep,-,-,-,-,0.97,0.29,1.86,2.78,2.78,0.8,8.03,6.76,2.82,3.12
Madhya Pradesh,10.14,6.59,6.59,7.4,8.17,8.53,11.7,9.2,9.2,7.53,26.47,24.77,1.55,-
Maharashtra,0.55,1.26,1.26,3.3,1.88,1.74,0.61,1.79,1.79,1.46,14.47,12.87,3.34,1.83
Manipur,18,9.66,9.66,3,1.22,6.06,7.02,4.2,4.2,8.02,13.81,14.38,3.2,-
Meghalaya,10.34,9.46,9.46,8.71,10.24,7.85,6.84,6.52,6.52,8.61,24.75,20.52,-,-
Mizoram,12.96,10.1,10.1,9.02,8.72,19.28,6.02,4.78,4.78,8.39,18.7,21.88,-,6.91
Nagaland,19.41,5.61,5.61,2.95,10.52,9.83,17.86,7.92,7.92,6.35,35.11,18.23,14.19,6.97
Odisha,2.94,2.86,2.86,3.62,4.86,3.81,2.8,3.81,3.81,3.18,49.48,29.56,-,-
Puducherry,0.66,0.37,0.37,0.57,0.94,0.68,0.6,0.56,0.56,0.44,14.24,12.19,11.16,4.5
Punjab,1.29,3.05,3.05,-,1.54,2.78,2.85,3.22,3.22,3.11,8.83,8.86,5.81,5.83
Rajasthan,8.39,5.02,5.02,0.01,2.96,4.42,6.03,3.07,3.07,4.39,18.77,13.48,-,-
Sikkim,4.57,2.27,2.27,5.25,3.72,3.15,5.14,1.57,1.57,1.99,12.89,15.89,12.91,11.76
Tamil Nadu,0.46,-,-,0.28,4.41,1.24,4.52,-,-,-,12.2,8.1,4.44,3.41
Telangana,5.81,2.08,2.08,-,-,-,4.71,2.3,2.3,2.16,17.43,15.53,13.43,0.77
Tripura,3.58,1.28,1.28,4.65,2.84,3.08,2.72,1.99,1.99,1.53,25.09,28.42,9.11,8.93
Uttar Pradesh,7.08,8.58,8.58,3.97,-,1.06,0.53,2.7,2.7,6.81,7.3,10.22,-,2.1
Uttarakhand,3.07,4.04,4.04,2.09,-,0.13,1.68,1.19,1.19,3.06,8.7,10.4,-,3.01
West Bengal,2.91,1.47,1.47,5.91,7.17,5.18,4.31,4.3,4.3,2.53,18.34,17.8,7.9,8.11
All India,4.34,4.13,4.13,6.56,2.65,3.13,3.77,4.03,4.03,4.1,17.86,17.06,1.54,-
