State/UT,GER_primary,NER_primary,"Adj.NER",GER_upper_primary,NER_upper_primary,"Adj.NER"
A & N Islands,88.93,77.69,83.08,84.14,65.91,76.3
Andhra Pradesh,84.48,72.1,72.14,81.33,63.37,63.49
Arunachal Pradesh,126.76,-,-,130.13,-,-
Assam,106.11,99.6,-,93.05,77.83,82.22
Bihar,107.67,-,-,107.89,96.88,-
Chandigarh,81.44,72.23,77.19,95.53,74.64,82.56
Chhattisgarh,100.02,91.69,94,102.33,82.1,86.62
D & N Haveli,82.53,76.92,84.53,90.96,69.18,79.73
Daman & Diu,82.03,71.42,75.29,79.15,62.45,69.68
Delhi,110.71,93.36,-,128.12,98.08,-
Goa,102.57,95.66,97.65,98.74,84.78,87.86
Gujarat,97.24,82.46,91.57,95.73,73.35,85.09
Haryana,91.41,73.76,82.06,92.39,69.36,84.38
Himachal Pradesh,98.8,82.1,93.24,104.36,80.46,98.27
Jammu & Kashmir,85.98,72.39,78.52,70.2,56.04,65.41
Jharkhand,109.22,97.21,98.76,102.73,89.12,97.06
Karnataka,102.98,96.4,99.06,93.37,79.37,83.33
Kerala,95.44,85.65,91.76,95.39,79.94,90.82
Lakshadweep,73.8,73.28,81.01,83.26,68.2,82.47
Madhya Pradesh,94.47,79.83,84.53,94.02,72.31,79.82
Maharashtra,97.74,85.79,89.25,99.24,78.49,85.01
Manipur,130.85,-,-,129.89,-,-
Meghalaya,140.9,96.86,98.67,135.89,72.87,74.83
Mizoram,122.99,99,-,134.78,92.52,96.35
Nagaland,99.5,83.2,84.02,102.28,80.89,83.45
Odisha,103.73,90.51,-,94.26,72,85.59
Puducherry,84.79,69.3,82.93,87.04,63.96,86.54
Punjab,101.7,84.1,87.41,98.38,89.24,98.84
Rajasthan,100.43,79.2,83.28,91.34,67.18,77.65
Sikkim,102.87,75.47,77.61,150.61,82.57,87.2
Tamil Nadu,103.89,90.9,-,94.03,77.05,92.81
Telangana,103.02,80.64,89.94,89.41,68.45,83.89
Tripura,107.96,97.99,98.63,127.97,-,-
Uttar Pradesh,92.15,83.07,86.54,75.08,60.53,69.61
Uttarakhand,99.29,84.42,91.7,86.89,66.24,77.75
West Bengal,103.68,94.02,99.1,105,81.3,93.05
All States,99.21,87.3,91.64,92.81,74.74,84.36
