Level,Primary-Boys,Primary-Girls,Primary-Total,Upper-Primary-Boys,Upper-Primary-Girls,Upper-Primary-Total,Elementary-Boys,Elementary-Girls,Elementary-Total
1950,60.6,24.8,42.6,20.6,4.6,12.7,46.4,17.7,32.1
1960,82.6,41.4,62.4,33.2,11.3,22.5,65.2,30.9,48.7
1970,95.5,60.5,78.6,46.5,20.8,33.4,75.5,44.4,61.9
1980,95.8,64.1,80.5,54.3,28.6,41.9,82.2,52.1,67.5
1990,94.8,71.9,83.8,80.1,51.9,66.7,90.3,65.9,78.6
2000,104.9,85.9,95.7,66.7,49.9,58.6,90.3,72.4,81.6
2005,112.8,105.8,109.4,75.2,66.4,71.0,98.5,91.0,94.9
2006,114.6,108.0,111.4,77.6,69.6,73.8,100.4,93.5,97.1
2007,115.3,112.6,114.0,81.5,74.4,78.1,102.4,98.0,100.3
2008,114.7,114.0,114.3,82.7,76.6,79.8,102.5,99.6,101.1
2009,113.8,113.8,113.8,84.3,79.0,81.7,102.5,100.4,101.5
2010,114.9,116.3,115.5,87.5,82.9,85.2,104.5,103.3,103.9
2011,105.8,107.1,106.5,82.5,81.4,82.0,97.2,97.6,97.4
2012,99.3,102.2,100.7,82.3,86.9,84.5,93.1,96.6,94.8
2013,98.1,100.6,99.3,84.9,90.3,87.4,93.3,96.9,95.0
