State/UT,Percentage of Girls Enrolment 2010-11,Percentage of Girls Enrolment 2011-12,Percentage of Girls Enrolment 2012-13,drinking water,Functional Girls Toilets - All Schools 2012-13,electricity ,Library - All Schools 2012-13,CAL Facility : Upper Primary Schools - Sections 2012-13,textbooks2012-13,Middaymeal,playground,All Schools 2012-13 (Functional Computers),boundary walls,Functional Boys Toilets - All Schools 2012-13,hand-wash2012-13,indoor kitchen 2012-13,Boys Enrollment,Trained Teachers percentage,Net Enrolled Students,GER,Dropout rates
A & N Islands,49.36,49.79,50.13,98.23,73.97,86.7,76.72,36.84,84.12,92.11,54.99,81.09,49,88.59,39.65,23.39,41034,99,86131,100.3,29.9
Andhra Pradesh,50.44,50.78,50.57,89.07,37.52,85.89,89.96,23.61,97.83,95.9,57.53,67.09,58.73,68.49,13.68,32.18,7607116,93.5,14951197,77.5,71.7
Arunachal Pradesh,46.94,45.25,46.47,76.21,46.04,24.52,9.36,18.61,80.67,87.08,33.17,68.78,37.07,86.38,9.47,58.45,147427,27.25,424705,95.2,63.1
Assam,51.22,51.41,51.38,80.87,86.13,13.93,30.29,14.71,95.8,93.05,51.95,70.42,25.65,76.06,15.15,64.4,2484977,40.5,5684408,63.7,69.8
Bihar,49.82,50.27,51.79,93.47,80.39,4.8,54.56,3.19,93.12,93.84,32.9,48.13,52.4,81.63,10.52,51.39,7256970,92,24171732,76.3,65
Chandigarh,48.39,47.66,47.76,100,98.4,100,96.81,82.76,95.45,94.02,95.21,94.48,98.94,98.92,50.54,0.85,81407,97.25,242491,100.5,65.9
Chhattisgarh,48.92,48.72,48.78,94.46,47.24,41.36,76.86,12.65,90.86,97.74,40.84,63.87,52.19,77.41,23.89,64.48,2427758,71.5,5930255,87.9,53.6
Dadra & Nagar Haveli,47.34,47.42,45.24,99.37,80.09,92.7,91.11,35.07,98.91,98.61,36.19,73.79,43.81,91.54,11.48,8.71,27850,95.75,75523,93,59.2
Daman & Diu,46.56,45.98,45.36,93.33,95.28,93.33,83.33,69.49,86.6,89,53.33,70.78,83.33,96.23,13.21,72,16217,97.25,39994,83.5,24.5
Delhi,49.36,50.38,48.87,100,100,99.73,90.59,57.77,94.53,98.01,73.88,90.21,97.81,100,58.13,60.43,1504160,100,4154007,104,31.7
Goa,47.42,42.05,47.35,97.9,73.09,97.49,92.68,72.41,88.06,96.04,42.62,79.81,76.63,91.26,45.79,60.43,127314,85.25,268886,103.9,65.9
Gujarat,47.63,47.98,48.04,99.57,97.22,98.65,85.41,47.6,96.3,95.68,73.82,72.97,89.59,95.45,25.93,72.93,5934956,75,11710599,82.1,66.6
Haryana,41.28,43.13,46.33,99.74,90.05,97.02,82.46,39.36,96.42,98.27,76.75,74.75,95.78,94.02,26.11,45.17,2339293,100,5092510,79.5,100
Himachal Pradesh,45.67,45.27,46.41,99.07,83.99,85.02,85.73,23.76,79.86,99.14,83.88,70.93,57.11,88.98,40.39,85.94,801997,100,1572922,100.4,65.9
