indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,124615546,134132183.0,134377324.0,133405581.0,135207057.0,137099984.0,134784272,132428440.0,130501135.0,129122784.0
Enrolment: Classes VI-VIII,43667786,50911110.0,53350189.0,54467415.0,57844942.0,61955154.0,64926077,66471219.0,67165774.0,67593727.0
"Enrolment: Classes I-V, Government",-,101153429.0,99485579.0,96222886.0,94088108.0,91650493.0,86491505,83121238.0,79901945.0,78051565.0
"Enrolment:Classes VI-VIII,G81o.v9ernment",-,32498650.0,33722832.0,34368617.0,36001733.0,37745355.0,38567724,38839624.0,39021735.0,38869512.0
"Enrolment: Classe4s0 I.9-V, Private",-,32736432.0,34842446.0,37099124.0,38235561.0,41898099.0,44481644,45665198.0,46626355.0,47185892.0
"Enrolment: Classes VI-VIII, Private",-,18353943.0,19613550.0,20055701.0,20882615.0,22965970.0,25265429,25566596.0,26929030.0,27463212.0
% Girls Enrolment: Primary8 1L.e0vel,47.8,48.2,48.4,48.5,48.4,48.4,48.4,48.2,48.2,48.2
% Girls Enrolment:4 U4..6Primary Level,45.8,47.0,47.6,48.1,48.4,48.6,48.8,48.7,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.92,0.93,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.84,0.89,0.91,0.93,0.94,0.95,0.95,0.95,0.95,0.95
% SC Enrolment: Classes I-VIII,18.6,19.8,19.7,19.8,19.1,19.8,20.2,19.7,19.8,19.8
% ST Enrolment: Classes  7I-9V.6III,9.0,11.0,11.0,10.9,10.7,10.9,10.9,10.6,10.5,10.4
% OBC Enrolment: Primary Level,41.7,42.4,42.4,42.2,40.1,42.8,42.9,44.1,44.4,45.1
% OBC Enrolment:U.Primary Level,40.8,41.9,41.9,42.0,40.3,43.3,43.7,44.4,44.7,45.2
% Muslim Enrolment: Prim7a8ry.6 Level,-,10.5,11.0,13.5,13.0,13.3,14.2,14.3,14.4,14.4
% Muslim Enrolment5: 4U.0. Primary Level,-,8.5,9.1,11.9,11.3,11.7,12.1,12.5,12.6,12.6
Ratio of Grade V to I,70,72.0,76.0,78.0,82.0,86.0,113.988,93.0,95.0,92.0
Avg. Repetition Rate: Primary Level,6.3,6.1,5.2,3.9,5.1,3.2,2.1,1.2,0.7,0.5
Avg.Repetition Rate: U.Primary Level,-,6.0,4.7,2.8,3.4,1.8,1.4,0.9,0.5,0.4
Avg. Drop-out Rate: Primar8y1 L.1evel,10.0,9.4,8.0,9.1,6.8,6.5,1155.3.6,4.7,4.3,4.1
Retention Rate: Primary Level,-,73.7,74.9,74.0,73.4,75.9,80.1,82.4,83.7,84.2
Transition Rate: Primary to U.Primary,-,81.1,82.7,83.5,85.2,87.1,86.7,89.6,89.7,90.1
