indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),4690176,5634589.0,5789898.0,5816673.0,6403234.0,6687983.0,7354152,7721903,7963161.0,8076756.0
% Teachers: Government,-,69.3,68.6,68.0,65.6,64.1,61.5,59.7,58.8,57.9
% Teachers: Private Aided,-,10.4,10.0,8.8,8.4,8.1,9.1,9.1,8.6,8.5
% Teachers: Private Unaided,-,20.5,21.5,23.1,22.9,24.7,26.5,28.6,29.9,30.8
Pupil-Teacher Ratio: Elementary,36,33.0,32.0,32.0,30.0,30.0,27,26,25.0,24.0
% Female Teachers,40.3,42.7,43.5,44.8,45.5,46.3,46.4,47.2,47.7,48.0
% SC Teachers,-,12.3,12.3,12.7,12.8,12.9,12.6,12.4,12.5,12.4
% ST Teachers,-,9.1,9.5,9.4,9.4,9.2,8.7,8.6,8.5,8.5
% OBC Teachers,-,32.8,34.2,33.4,32.5,34.7,34.6,35.2,34.5,35.6
% Teachers Recieved in-Service Training,40.0,36.8,35.1,35.0,29.6,34.2,25.8,22.0,18.3,14.9
% Contract Teachers to Total Teachers,10.7,10.5,9.4,11.0,11.2,12.2,-,-,13.6,13.2
