"School Indicators4.6",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts3 C.8overed,604,624,633,635,637,644,662,662,680,680
Total Schools8.0,1124033,1250775,1285576,1303812,1362324,1412178,1431702,1448712,1445807,1449078
Total Government Schools,-,1002915,1035178,1048046,1064604,1078407,1086720,1093969,1080757,1076994
Total Private Schools,-,243895,249920,254178,264607,299357,307978,319990,328845,334468
Ratio of Primary to U.PrimarySc7.h9./Sec.,2.6,2.4,2.3,2.2,2.1,2.1,2.1,2.0,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,8,9,7,10,10,10,10,9,9,9
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6,9,7,8,8,8,8,8,8
"% Single-Teacher Schools with Enr.≥15",11.2,9.0,8.4,8.1,7.7,7.2,8.7,7.2,6.8,6.2
"% Enrolment in Single-Teacher Schools",5.7,4.1,3.7,3.7,3.6,3.8,3.8,3.7,3.3,3.2
"% Schools with Enrolm4.e8nt ≤ 50",24.3,25.2,26.7,27.1,27.8,28.4,29.2,31.3,32.3,33.5
"% Schools with Fem4a.0le Teachers",69.1,72.9,73.7,74.5,75.1,75.6,76.5,79.4,75.1,74.9
