Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-01122,213012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,39,35,33,32,31,30,29,28,27,27
"% Schools with Drinking Water",83.1,86.8,87.8,92.6,92.7,92041.53,1494.9,95.3,96.1,96.8
"% Schools with Common Toilet",52.4,62.7,66.8,54.3,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,31.0,42.6,81.1,67.1x,94.5x,95.4x,97.1
"% Schools with Girls' Toilet",37.4,50.6,53.6,58.8,60.3,72021.24,15 88.3x,84.6x,87.1x,97.6
"% Schools with Boundarywall",50.7,50.2,51.0,51.5,55.4,58.2,59.5,61.9,64.5,64.9
"% School with Playground Facility",-,-,-,54.8,55.0,56.1,56.6,58.1,59.8,60.6
"% Schools with Ramp",17.1,34.4,40.4,47.1,50.4,53.4,79.3**,82.3**,77.4**,82.6**
"% Schools havining Electricity",-,-,35.6,39.0,43.1,47.1,49.9,51.7,58.9,61.7
"% Schools with Computer",10.7,14.3,14.1,16.7,18.7,20.5,22.1,23.3,25.2,26.0
"% Schools Providing Mid-day Meal*",-,-,-,87.5,88.2,92.1,94.8,88.6,96.9,97.6
