indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Covered8.5,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Total Schools8.0,287,359.0,360.0,394.0,406.0,428.0,451.0,454.0,410.0,410.0
Total Government Schools,-,317.0,313.0,322.0,324.0,330.0,340.0,348.0,340.0,340.0
Total Private Schools,-,42.0,46.0,72.0,82.0,98.0,111.0,106.0,70.0,70.0
Ratio of Primary to U.Primary7S.c4h./Sec.,2.2,2.1,2.1,2.4,1.4,1.8,2.5,2.4,2.1,2.0
Primary Sch./Sec.per 1000 Child Popln.,6,8.0,6.0,9.0,7.0,8.0,11.0,13.0,11.0,11.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6.0,8.0,6.0,8.0,7.0,7.0,8.0,9.0,9.0
% Single-Teacher Schools with Enr.≥15,3.8,0.0,0.0,1.8,2.2,0.7,3.3,2.4,1.0,1.0
% Enrolment in Single-Teacher Schools,0.7,0.0,0.3,0.4,0.6,0.3,0.0,1.0,0.4,0.4
% Schools with Enrolmen6t .1≤ 50,34.5,38.4,39.7,44.4,47.8,48.4,52.3,51.1,45.9,45.9
% Schools with Female T6e.a0chers,84.7,85.8,100.0,89.3,88.9,87.4,90.5,90.1,84.8,84.7
