"School Indicators8.4",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
"Number of Districts Covered8.5",2,3,3,3,3,3,3,3,3,3
"Total Schools8.0",287,359,360,394,406,428,451,454,410,410
Total Government Schools,-,317,313,322,324,330,340,348,340,340
Total Private Schools,-,42,46,72,82,98,111,106,70,70
Ratio of Primary to U.Primary7S.c4h./Sec.,2.2,2.1,2.1,2.4,1.4,1.8,2.5,2.4,2.1,2.0
Primary Sch./Sec.per 1000 Child Popln.,6,8,6,9,7,8,11,13,11,11
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6,8,6,8,7,7,8,9,9
"% Single-Teacher Schools with Enr.≥15",3.8,0.0,0.0,1.8,2.2,0.7,3.3,2.4,1.0,1.0
"% Enrolment in Single-Teacher Schools",0.7,0.0,0.3,0.4,0.6,0.3,0.0,1.0,0.4,0.4
"% Schools with Enrolmen6t .1≤ 50",34.5,38.4,39.7,44.4,47.8,48.4,52.3,51.1,45.9,45.9
"% Schools with Female T6e.a0chers",84.7,85.8,100.0,89.3,88.9,87.4,90.5,90.1,84.8,84.7
