Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,22,19,19,17,16,15,19,19,19,18
"% Schools with Drinking Water",81.9,98.1,98.6,91.4,95.8,9270.10,1498.2,98.7,99.5,100.0
"% Schools with Common Toilet",35.9,84.4,95.6,29.7,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,84.5,68.5,86.7,74.0x,95.4x,100.0x,100.0
"% Schools with Girls' Toilet",63.8,73.8,81.7,88.8,73.9,8220.10,15 91.1x,93.2x,100.0x,100.0
"% Schools with Boundarywall",41.1,47.6,48.6,51.8,48.5,48.6,49.0,57.9,65.9,70.2
"% School with Playground Facility",-,-,-,60.9,56.9,5270.17,1655.0,57.5,57.6,58.1
"% Schools with Ramp",5.6,8.6,7.2,17.3,25.1,22.0,36.7**,39.8**,47.8**,51.8**
"% Schools havining Electricity",-,-,87.5,84.3,86.2,86.2,86.7,87.2,88.8,90.0
"% Schools with Computer",17.4,41.2,47.5,55.3,60.8,59.4,52.8,52.6,56.8,56.6
"% Schools Providing Mid-day Meal*",-,-,-,94.4,89.9,94.3,92.1,94.9,97.1,97.4
