Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),2967,3715,3837,4947,5282,5374,5228,5263,5257,5346
"% Teachers: Government",-,87.7,85.7,85.7,83.8,83.5,81.2,81.4,82.7,81.4
"% Teachers: Private Aided",-,1.6,1.7,1.4,1.5,1.3,1.4,1.4,1.3,1.4
"% Teachers: Private Unaided",-,10.7,12.6,12.9,14.1,15.0,17.4,17.2,16.0,17.2
Pupil-Teacher Ratio: Elementary,16,15,15,11,10,10,10,10,10,9
"% Female Teachers",52.3,57.3,59.2,58.2,58.7,59.8,61.2,61.7,61.4,62.5
"% SC Teachers",-,0.4,0.3,0.5,0.6,0.0,0.2,0.3,0.2,0.4
"% ST Teachers",-,7.2,7.6,7.1,7.4,7.4,7.8,7.4,7.3,7.0
"% OBC Teachers",-,3.6,6.2,10.2,12.3,14.3,15.2,16.4,19.3,20.8
"% Teachers Recieved in-Service Training",21.3,16.9,15.1,29.9,22.8,25.9,34.7,17.6,8.0,6.0
"% Contract Teachers to Total Teachers",1.1,1.1,1.5,3.1,4.5,13.3,-,-,12.7,12.3
