indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,7391922,7250479.0,7206168.0,7229193.0,7540821.0,7440000.0,7243392,7218831.0,3814756.0,3546688
Enrolment: Classes VI-VIII,3731018,3787907.0,3704195.0,3622055.0,3731242.0,3811101.0,3854222,3870384.0,2119640.0,2064622
"Enrolment: Classes I-V, Government",-,4451204.0,4292908.0,4182153.0,4060278.0,3970814.0,3796073,3735160.0,2070455.0,1860015
"Enrolment:Classes VI-VIII,Go8v9.e6rnment",-,2370238.0,2227930.0,2128836.0,2130832.0,2161044.0,2198441,2232461.0,1298080.0,1268666
"Enrolment: Classe4s1 .I3-V, Private",-,2799275.0,2913260.0,3047040.0,3126348.0,3138613.0,3142522,3331215.0,1678591.0,1654469
"Enrolment: Classes VI-VIII, Private",-,1417669.0,1476265.0,1493219.0,1514086.0,1554267.0,1574552,1603631.0,800445.0,786735
% Girls Enrolment: Primary Le9v4e.6l,49.4,49.3,49.4,49.2,48.8,48.8,48.6,48.5,48.4,48.2
% Girls Enrolment: 4U7..P1rimary Level,47.8,48.6,48.9,49.1,49.1,49.4,49.4,49.1,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.94,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.91,0.94,0.96,0.96,0.96,0.98,0.97,0.96,0.95,0.94
% SC Enrolment: Classes I-VIII,19.3,18.9,18.6,18.5,18.5,18.8,18.9,18.8,20.0,19.9
% ST Enrolment: Classes  I-VI9II5.6,9.4,9.6,9.6,9.8,9.8,9.9,10.0,9.8,7.5,7.2
% OBC Enrolment: Primary Level,48.0,45.4,45.2,45.1,45.1,46.1,46.4,46.9,48.1,50.3
% OBC Enrolment:U.Primary Level,47.8,46.1,46.0,46.1,46.5,47.3,47.6,47.9,48.3,50.1
% Muslim Enrolment: Primary 9L6e.v3el,-,10.5,10.8,9.0,9.7,10.1,10.3,10.3,7.8,8.1
% Muslim Enrolment: U. Pr8im3.a8ry Level,-,9.5,10.1,8.1,8.6,8.7,9.0,9.0,6.8,7.2
Ratio of Grade V to I,90,83.0,83.0,85.0,86.0,86.0,88,92.0,100.0,-
Avg. Repetition Rate: Primary Level,5.2,2.6,2.2,1.4,1.2,0.6,0.5,0.1,0.0,0.0
Avg.Repetition Rate: U.Primary Level,-,1.0,0.8,0.3,0.6,0.4,0.4,0.1,0.0,0.0
Avg. Drop-out Rate: Primary Le9v7e.9l,9.6,6.9,4.8,5.8,5.4,6.2,8.95.7,3.2,4.4,6.7
Retention Rate: Primary Level,-,85.3,84.0,84.2,82.8,85.3,84.8,86.7,87.7,84.0
Transition Rate: Primary to U.Primary,-,90.5,93.5,93.9,96.5,93.3,93.9,95.9,93.3,91.0
