indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),462869,518881.0,508004.0,501819.0,572976.0,575920.0,519749.0,540634.0,300566.0,276900.0
% Teachers: Government,-,64.2,62.7,62.1,60.2,60.0,57.9,57.8,61.8,65.8
% Teachers: Private Aided,-,3.8,3.7,3.5,3.0,2.8,2.7,2.4,2.8,2.9
% Teachers: Private Unaided,-,32.0,33.6,34.4,32.1,33.0,35.9,37.9,33.8,30.5
Pupil-Teacher Ratio: Elementary,24,21.0,21.0,22.0,20.0,20.0,21.0,21.0,20.0,20.0
% Female Teachers,42.5,44.9,45.4,45.7,46.9,47.0,47.3,48.2,47.5,47.2
% SC Teachers,-,12.9,12.9,13.3,14.4,14.3,13.7,13.7,15.8,16.3
% ST Teachers,-,6.4,6.5,6.7,6.8,7.0,6.0,6.3,6.0,6.2
% OBC Teachers,-,38.5,38.5,39.3,40.1,41.1,41.5,42.2,40.9,41.5
% Teachers Recieved in-Service Training,45.9,37.8,32.7,27.0,25.6,32.4,28.7,19.1,25.2,11.2
Enrolment: Classes I-V,7391922,7250479.0,7206168.0,7229193.0,7540821.0,7440000.0,7243392,7218831.0,3814756.0,3546688
Enrolment: Classes VI-VIII,3731018,3787907.0,3704195.0,3622055.0,3731242.0,3811101.0,3854222,3870384.0,2119640.0,2064622
"Enrolment: Classes I-V, Government",-,4451204.0,4292908.0,4182153.0,4060278.0,3970814.0,3796073,3735160.0,2070455.0,1860015
"Enrolment:Classes VI-VIII,Go8v9.e6rnment",-,2370238.0,2227930.0,2128836.0,2130832.0,2161044.0,2198441,2232461.0,1298080.0,1268666
"Enrolment: Classe4s1 .I3-V, Private",-,2799275.0,2913260.0,3047040.0,3126348.0,3138613.0,3142522,3331215.0,1678591.0,1654469
"Enrolment: Classes VI-VIII, Private",-,1417669.0,1476265.0,1493219.0,1514086.0,1554267.0,1574552,1603631.0,800445.0,786735
% Girls Enrolment: Primary Le9v4e.6l,49.4,49.3,49.4,49.2,48.8,48.8,48.6,48.5,48.4,48.2
% Girls Enrolment: 4U7..P1rimary Level,47.8,48.6,48.9,49.1,49.1,49.4,49.4,49.1,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.94,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.91,0.94,0.96,0.96,0.96,0.98,0.97,0.96,0.95,0.94
% SC Enrolment: Classes I-VIII,19.3,18.9,18.6,18.5,18.5,18.8,18.9,18.8,20.0,19.9
% ST Enrolment: Classes  I-VI9II5.6,9.4,9.6,9.6,9.8,9.8,9.9,10.0,9.8,7.5,7.2
% OBC Enrolment: Primary Level,48.0,45.4,45.2,45.1,45.1,46.1,46.4,46.9,48.1,50.3
% OBC Enrolment:U.Primary Level,47.8,46.1,46.0,46.1,46.5,47.3,47.6,47.9,48.3,50.1
% Muslim Enrolment: Primary 9L6e.v3el,-,10.5,10.8,9.0,9.7,10.1,10.3,10.3,7.8,8.1
% Muslim Enrolment: U. Pr8im3.a8ry Level,-,9.5,10.1,8.1,8.6,8.7,9.0,9.0,6.8,7.2
Ratio of Grade V to I,90,83.0,83.0,85.0,86.0,86.0,88,92.0,100.0,-
Avg. Repetition Rate: Primary Level,5.2,2.6,2.2,1.4,1.2,0.6,0.5,0.1,0.0,0.0
Avg.Repetition Rate: U.Primary Level,-,1.0,0.8,0.3,0.6,0.4,0.4,0.1,0.0,0.0
Avg. Drop-out Rate: Primary Le9v7e.9l,9.6,6.9,4.8,5.8,5.4,6.2,8.95.7,3.2,4.4,6.7
Retention Rate: Primary Level,-,85.3,84.0,84.2,82.8,85.3,84.8,86.7,87.7,84.0
Transition Rate: Primary to U.Primary,-,90.5,93.5,93.9,96.5,93.3,93.9,95.9,93.3,91.0
Student-Classroom Ratio,29,26,25,24.0,23,23,22,22,22,21
% Schools with Drinking Water,77.6,90.0,85.6,91.8,90.5,8290.10,1489.1,90.1,93.6,95.3
% Schools with Common Toilet,57.0,61.3,61.5,74.3,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,8.6,14.5,74.6,20.2x,87.1x,98.3x,99.7
% Schools with Girls' Toilet,40.5,46.8,47.1,66.7,59.5,6210.14,15 73.5x,57.1x,68.1x,99.7
% Schools with Boundarywall,51.1,52.6,52.5,53.9,56.1,57.2,58.7,61.0,59.0,61.6
% School with Playground Facility,-,-,-,56.5,56.6,5270.15,1657.5,57.0,54.2,54.7
% Schools with Ramp,7.7,10.8,12.0,14.2,15.9,19.6,71.1**,69.1**,57.0**,67.2**
% Schools havining Electricity,-,-,37.3,45.0,67.1,81.8,85.9,88.3,92.7,93.4
% Schools with Computer,15.7,21.1,22.7,23.8,25.6,27.1,28.6,30.0,27.6,29.4
% Schools Providing Mid-day Meal*,-,-,-,92.0,95.0,95.9,95.9,-,97.6,97.6
Number of Distric2t.9s Covered,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,13.0,13.0
Total Schools,,,,,,,,,,
9.3,94984,100449.0,101303.0,102798.0,107597.0,108045.0,107107.0,105195.0,61915.0,60435.0
Total Government Schools,-,79324.0,79550.0,79813.0,79358.0,78673.0,77046.0,75089.0,46164.0,44399.0
Total Private Schools,-,21125.0,21753.0,22985.0,24472.0,26098.0,27052.0,28404.0,14959.0,15515.0
Ratio of Primary to U.PrimarySch./9S.e2c.,2.4,2.4,2.6,2.5,2.4,2.4,2.3,2.2,2.5,2.3
Primary Sch./Sec.per 1000 Child Popln.,10,11.0,7.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,7.0,12.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0
% Single-Teacher Schools with Enr.≥15,5.2,4.9,6.1,9.7,7.3,4.1,12.2,12.2,12.0,9.8
% Enrolment in Single-Teacher Schools,1.9,1.6,1.9,4.0,2.5,1.5,4.6,4.6,4.7,4.9
% Schools with Enrol4m.7ent ≤ 50,35.3,39.8,41.9,42.7,41.5,41.1,41.1,40.9,46.7,48.7
% Schools with F3e.m2 ale Teachers,74.7,78.1,78.7,81.1,82.5,81.2,84.2,84.9,81.0,80.9
