"School Indicators4.5",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric2t.9s Covered,23,23,23,23,23,23,23,23,13,13
"Total Schools9.3",94984,100449,101303,102798,107597,108045,107107,105195,61915,60435
Total Government Schools,-,79324,79550,79813,79358,78673,77046,75089,46164,44399
Total Private Schools,-,21125,21753,22985,24472,26098,27052,28404,14959,15515
Ratio of Primary to U.PrimarySch./9S.e2c.,2.4,2.4,2.6,2.5,2.4,2.4,2.3,2.2,2.5,2.3
Primary Sch./Sec.per 1000 Child Popln.,10,11,7,12,13,12,12,11,12,12
U.Prim. Sch./Sec.per 1000 Child Popln.,7,7,12,7,8,8,8,8,8,9
"% Single-Teacher Schools with Enr.≥15",5.2,4.9,6.1,9.7,7.3,4.1,12.2,12.2,12.0,9.8
"% Enrolment in Single-Teacher Schools",1.9,1.6,1.9,4.0,2.5,1.5,4.6,4.6,4.7,4.9
"% Schools with Enrol4m.7ent ≤ 50",35.3,39.8,41.9,42.7,41.5,41.1,41.1,40.9,46.7,48.7
"% Schools with F3e.m2 ale Teachers",74.7,78.1,78.7,81.1,82.5,81.2,84.2,84.9,81.0,80.9
