Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,7391922,7250479,7206168,7229193,7540821,7440000,7243392,7218831,3814756,3546688
Enrolment: Classes VI-VIII,3731018,3787907,3704195,3622055,3731242,3811101,3854222,3870384,2119640,2064622
"Enrolment: Classes I-V, Government",-,4451204,4292908,4182153,4060278,3970814,3796073,3735160,2070455,1860015
"Enrolment:Classes VI-VIII,Go8v9.e6rnment",-,2370238,2227930,2128836,2130832,2161044,2198441,2232461,1298080,1268666
"Enrolment: Classe4s1 .I3-V, Private",-,2799275,2913260,3047040,3126348,3138613,3142522,3331215,1678591,1654469
"Enrolment: Classes VI-VIII, Private",-,1417669,1476265,1493219,1514086,1554267,1574552,1603631,800445,786735
"% Girls Enrolment: Primary Le9v4e.6l",49.4,49.3,49.4,49.2,48.8,48.8,48.6,48.5,48.4,48.2
"% Girls Enrolment: 4U7..P1rimary Level",47.8,48.6,48.9,49.1,49.1,49.4,49.4,49.1,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.94,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.91,0.94,0.96,0.96,0.96,0.98,0.97,0.96,0.95,0.94
"% SC Enrolment: Classes I-VIII",19.3,18.9,18.6,18.5,18.5,18.8,18.9,18.8,20.0,19.9
"% ST Enrolment: Classes  I-VI9II5.6",9.4,9.6,9.6,9.8,9.8,9.9,10.0,9.8,7.5,7.2
"% OBC Enrolment: Primary Level",48.0,45.4,45.2,45.1,45.1,46.1,46.4,46.9,48.1,50.3
"% OBC Enrolment:U.Primary Level",47.8,46.1,46.0,46.1,46.5,47.3,47.6,47.9,48.3,50.1
"% Muslim Enrolment: Primary 9L6e.v3el",-,10.5,10.8,9.0,9.7,10.1,10.3,10.3,7.8,8.1
"% Muslim Enrolment: U. Pr8im3.a8ry Level",-,9.5,10.1,8.1,8.6,8.7,9.0,9.0,6.8,7.2
Ratio of Grade V to I,90,83,83,85,86,86,88,92,100,-
Avg. Repetition Rate: Primary Level,5.2,2.6,2.2,1.4,1.2,0.6,0.5,0.1,0.0,0.0
Avg.Repetition Rate: U.Primary Level,-,1.0,0.8,0.3,0.6,0.4,0.4,0.1,0.0,0.0
Avg. Drop-out Rate: Primary Le9v7e.9l,9.6,6.9,4.8,5.8,5.4,6.2,8.95.7,3.2,4.4,6.7
Retention Rate: Primary Level,-,85.3,84.0,84.2,82.8,85.3,84.8,86.7,87.7,84.0
Transition Rate: Primary to U.Primary,-,90.5,93.5,93.9,96.5,93.3,93.9,95.9,93.3,91.0
