indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,194012,230161,244030.0,245832,244488.0,248357.0,234768,225052.0,224044.0,221230.0
Enrolment: Classes VI-VIII,58290,79310,81208.0,88617,87577.0,92954.0,98647,99995.0,101249.0,101228.0
"Enrolment: Classes I-V, Government",-,204441,208126.0,205742,199056.0,189914.0,184646,171206.0,160026.0,154962.0
"Enrolment:Cla2s5s.e0s VI-VIII,Government",-,70493,68877.0,73551,71239.0,70432.0,83078,83326.0,78704.0,77941.0
"Enrolment:7 .C3lasses I-V, Private",-,25720,35904.0,40090,45364.0,55484.0,50001,53587.0,62550.0,64294.0
"Enrolment: Classes VI-VIII, Private",-,8817,12331.0,15066,16338.0,19472.0,15557,16620.0,22281.0,23126.0
% Girls Enrolm2e6n.3t: Primary Level,47.4,47.9,48.0,48.5,48.6,48.7,48.7,49.0,48.9,48.8
% Girls En7ro.5lment: U.Primary Level,46.7,47.2,47.3,48.2,48.8,49.3,50.3,50.1,50.4,50.5
Ratio of Girls Enr.to Boys: Primary,0.90,0.92,0.92,0.94,0.95,0.95,0.95,0.96,0.96,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.89,0.9,0.93,0.95,0.97,1.01,1.0,1.02,1.02
% SC Enrolment: Classes I-VIII,1.0,0.7,0.7,0.4,0.3,0.6,0.9,0.6,0.4,0.7
% ST Enrolme2n3t:. 7Classes  I-VIII,73.1,76.0,76.4,76.2,76.8,75.8,74.4,74.5,74.7,74.3
% OBC Enrolment: Primary Level,0.8,0.4,0.4,0.3,0.3,0.5,1.3,0.6,0.7,0.7
% OBC Enrolment:U.Primary Level,1.3,0.4,0.3,0.3,0.4,0.3,1.0,0.5,0.6,0.7
% Muslim Enro2lm5.2ent: Primary Level,-,0.0,0.1,0.3,0.4,0.4,0.7,1.1,1.1,1.4
% Muslim Enr2o1l.m4 ent: U. Primary Level,-,0.0,0.1,0.4,0.4,0.4,0.6,0.9,0.8,1.1
Ratio of Grade V to I,35,36,37.0,41,43.0,50.0,52,58.0,62.0,64.0
Avg. Repetition Rate: Primary Level,15.7,8.3,6.0,4.9,4.1,2.0,0.8,0.8,0.5,0.5
Avg.Repetition Rate: U.Primary Level,-,6.7,5.3,4.4,3.3,1.0,0.2,0.8,0.4,0.3
Avg. Drop-out Rate4:3 P.8rimary Level,15.9,14.2,16.6,20.7,18.7,14.8,1282.07.,315.2,10.9,10.8
Retention Rate: Primary Level,-,-,60.5,46.2,44.8,46.8,42.3,43.0,44.5,47.6
Transition Rate: Primary to U.Primary,-,-,97.8,-,91.1,96.1,91.4,98.0,98.5,97.0
