indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),148869,242203.0,261212.0,225857.0,270811.0,235072.0,277532,290459,296609.0,302001.0
% Teachers: Government,-,73.2,76.5,73.6,61.6,61.9,65.5,71.7,70.0,67.7
% Teachers: Private Aided,-,15.5,17.7,19.4,19.4,17.0,15.0,9.7,9.1,9.1
% Teachers: Private Unaided,-,11.3,5.8,7.0,7.4,8.9,9.1,10.9,12.6,15.4
Pupil-Teacher Ratio: Elementary,25,24.0,22.0,23.0,21.0,25.0,21,20,20.0,18.0
% Female Teachers,29.7,30.2,30.6,30.9,30.7,31.8,33.9,34.3,35.2,36.2
% SC Teachers,-,5.8,5.7,5.6,5.6,5.7,5.9,5.9,6.0,6.0
% ST Teachers,-,17.0,16.8,16.7,16.8,17.0,15.6,15.2,14.8,15.4
% OBC Teachers,-,29.6,29.5,30.8,29.3,28.9,30.2,29.6,29.4,29.4
% Teachers Recieved in-Service Training,58.9,28.4,34.9,46.9,32.5,33.7,24.2,16.4,11.8,15.0
% Contract Teachers to Total Teachers,3.1,8.0,7.8,7.0,4.5,3.4,-,-,14.4,13.9
Enrolment: Classes I-V,3188565,4193867.0,4162001.0,3521862.0,4070490,3927798.0,3915791.0,4013706.0,4049643.0,3720921.0
Enrolment: Classes VI-VIII,763697,1508568.0,1704017.0,1640238.0,1751673,1833169.0,1788253.0,1792478.0,1803635.0,1711132.0
"Enrolment: Classes I-V, Government",-,3597656.0,3789686.0,3143737.0,3055803,3054579.0,2963820.0,3309489.0,3260441.0,2941915.0
"Enrolment:Classe4s1 V.0I-VIII,Government",-,1018907.0,1153684.0,1061156.0,1041911,1109996.0,1081508.0,1254277.0,1262837.0,1198277.0
"Enrolment: C13la.4sses I-V, Private",-,596211.0,372315.0,378125.0,424711,233782.0,293087.0,341687.0,402333.0,485021.0
"Enrolment: Classes VI-VIII, Private",-,489661.0,550333.0,579082.0,620593,653404.0,649614.0,473175.0,481098.0,470428.0
% Girls Enrolment:4 P6r.7imary Level,49.3,49.4,49.4,49.7,49.5,49.6,49.7,49.7,49.6,49.6
% Girls Enro1l2m.9ent: U.Primary Level,48.8,50.1,50.7,51.2,51.4,51.3,51.5,51.6,51.8,51.6
Ratio of Girls Enr.to Boys: Primary,0.97,0.97,0.97,0.99,0.98,0.99,0.99,0.99,0.98,0.98
Ratio of Girls Enr.to Boys: U.Primary,0.95,1.01,1.03,1.05,1.06,1.05,1.06,1.07,1.07,1.07
% SC Enrolment: Classes I-VIII,10.5,9.7,9.8,9.7,9.4,9.3,9.1,8.9,8.7,8.6
% ST Enrolment: C4l3a.s3ses  I-VIII,16.0,15.6,15.2,15.2,15.3,15.1,14.5,14.7,14.6,14.3
% OBC Enrolment: Primary Level,19.1,23.3,23.2,25.2,24.9,25.0,25.2,24.8,25.1,25.9
% OBC Enrolment:U.Primary Level,25.4,26.5,26.6,27.2,27.3,26.8,26.5,26.6,26.8,27.3
% Muslim Enrolm3e6n.5t: Primary Level,-,31.9,35.1,39.9,40.3,40.2,40.0,40.7,39.6,38.8
% Muslim En1r8o.l6ment: U. Primary Level,-,20.3,25.6,31.9,31.9,33.7,33.6,34.6,34.3,33.5
Ratio of Grade V to I,64,59.0,59.0,71.0,62,63.0,69.0,72.0,73.0,74.0
Avg. Repetition Rate: Primary Level,2.4,3.5,3.5,2.6,3.0,2.1,0.9,0.5,0.2,0.2
