Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,44,39,35,30,29,31,28,28,28,25
"% Schools with Drinking Water",70.6,62.3,65.3,81.3,76.1,7270.13,1480.9,79.7,83.0,85.9
"% Schools with Common Toilet",31.3,26.3,30.3,41.8,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,21.3,20.9,56.9,61.8x,78.8x,79.7x,83.4
"% Schools with Girls' Toilet",9.6,10.5,12.7,38.2,39.7,5200.15,15 76.2x,59.3x,53.9x,84.3
"% Schools with Boundarywall",30.3,28.3,26.5,27.6,24.8,25.1,25.7,26.4,27.8,28.9
"% School with Playground Facility",-,-,-,54.3,53.0,5220.14,1652.0,50.7,54.4,56.4
"% Schools with Ramp",10.9,14.7,22.5,42.7,37.9,46.4,93.4**,89.6**,90.2**,91.2**
"% Schools havining Electricity",-,-,8.8,11.7,11.5,12.2,13.9,15.9,20.1,22.2
"% Schools with Computer",4.1,3.7,3.2,5.0,5.1,6.5,7.2,7.7,8.1,8.7
"% Schools Providing Mid-day Meal*",-,-,-,80.5,85.3,89.9,93.1,95.2,97.5,98.4
