indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,11233588,14629233.0,15233293.0,15156710.0,15646438.0,15882000.0,14031263.0,15020755,15340469.0,16170088
Enrolment: Classes VI-VIII,2163453,3033572.0,3475996.0,3850783.0,4328264.0,4970093.0,5261688.0,6218202,6792648.0,7261697
"Enrolment: Classes I-V, Government",-,14404648.0,15204831.0,15152401.0,15368913.0,15596685.0,13744839.0,14024944,14011809.0,14832202
"Enrolment:Classe4s0 V.9I-VIII,Government",-,2945039.0,3470283.0,3847929.0,4195801.0,4818072.0,5083788.0,5828608,6254280.0,6715807
"Enrolment: Class3e3.s5 I-V, Private",-,224585.0,28462.0,4254.0,60527.0,80647.0,81520.0,343593,496954.0,606494
"Enrolment: Classes VI-VIII, Private",-,88533.0,5713.0,2854.0,37199.0,55548.0,79801.0,155772,248720.0,289321
% Girls Enrolment: 4P9r.im5 ary Level,44.4,46.6,47.5,47.8,48.5,49.3,49.8,49.5,49.4,49.4
% Girls Enrolmen34t:. 4U.Primary Level,38.9,43.0,45.2,46.4,47.7,48.8,50.5,50.5,50.6,50.6
Ratio of Girls Enr.to Boys: Primary,0.80,0.87,0.9,0.92,0.94,0.97,0.99,0.98,0.98,0.98
Ratio of Girls Enr.to Boys: U.Primary,0.64,0.76,0.82,0.87,0.91,0.95,1.02,1.02,1.02,1.02
% SC Enrolment: Classes I-VIII,15.4,16.9,17.4,18.6,18.3,18.8,19.3,19.1,19.1,19.8
% ST Enrolment: Cl4a6s.9ses  I-VIII,1.3,2.3,2.3,1.9,2.0,2.1,2.1,1.8,1.8,1.8
% OBC Enrolment: Primary Level,62.1,59.3,60.2,61.0,62.6,63.7,63.4,65.1,64.8,64.7
% OBC Enrolment:U.Primary Level,58.1,60.3,62.0,62.6,65.3,65.9,65.3,66.1,65.7,65.6
% Muslim Enrolmen4t6: .P1 rimary Level,-,11.3,13.0,13.8,14.4,15.2,15.1,15.6,16.1,16.7
% Muslim Enrolme4n6t:. 5U. Primary Level,-,8.2,10.4,12.2,12.6,13.2,13.2,13.3,13.4,13.7
Ratio of Grade V to I,46,40.0,49.0,58.0,69.0,86.0,94.0,92,98.0,93
Avg. Repetition Rate: Primary Level,13.5,7.2,6.7,3.9,10.0,6.7,2.9,1.6,1.0,0.8
Avg.Repetition Rate: U.Primary Level,-,4.1,2.1,0.8,4.4,3.0,1.4,0.7,0.5,0.3
Avg. Drop-out Rate4: 6P.3rimary Level,11.4,13.8,12.0,13.4,6.4,5.7,1153.3,4-,2.1,-
Retention Rate: Primary Level,-,53.4,56.1,63.6,66.5,58.7,62.3,74.6,82.9,93.2
Transition Rate: Primary to U.Primary,-,62.9,70.7,71.0,73.5,76.4,71.7,86.2,82.6,85.0
