School Indica3t.o5rs,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Dist3r.i4cts Covered,37,37,37,37,38,38,38,38,38,38,
"Total Schools4.5",53778,67874,67749,67656,69379,70501,71484,76596,79196,80166,
Total Government Schools,-,66627,67649,67618,67926,69364,69911,70673,71140,71411,
Total Private Schools,-,1238,93,14,397,86,429,1698,2899,3477,
Ratio of Primary to U.P7.r2imarySch./Sec.,3.2,3.7,3.4,2.8,2.5,2.4,2.3,2.2,2.2,2.2,
Primary Sch./Sec.per 1000 Child Popln.,4,6,3,6,6,6,6,5,5,5,
U.Prim. Sch./Sec.per 1000 Child Popln.,2,3,6,3,4,4,4,5,5,5,
"% Single-Teacher Schools with Enr.≥15",7.7,6.3,4.8,5.4,4.5,3.6,7.0,7.0,4.8,4.2,
"% Enrolment in Single-Teacher Schools",5.2,3.3,2.8,2.9,2.4,1.9,3.4,3.5,2.2,2.0,
"% Schools with E4n.8rolment ≤ 50",5.8,5.1,3.5,3.5,3.0,2.6,2.6,2.5,3.2,3.7,
"% Schools with F4e.5male Teachers",60.3,79.1,80.2,80.6,81.9,83.8,85.3,86.0,81.5,79.2,
