Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),207347,328581,338478,332834,344688,354328,361466,419631,451485,467877
"% Teachers: Government",-,98.1,99.9,100.0,97.2,97.9,96.7,86.9,86.5,82.4
"% Teachers: Private Aided",-,1.7,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.3
"% Teachers: Private Unaided",-,0.3,0.1,0.0,0.6,0.1,1.3,3.8,5.2,8.1
Pupil-Teacher Ratio: Elementary,65,54,55,57,58,59,53,51,49,50
"% Female Teachers",26.2,36.5,37.1,37.6,38.5,39.9,39.6,40.0,36.7,35.1
"% SC Teachers",-,14.7,14.9,15.1,15.1,15.1,14.6,13.1,12.2,11.7
"% ST Teachers",-,4.5,3.9,3.8,3.9,3.6,3.4,2.8,2.3,1.8
"% OBC Teachers",-,45.0,45.5,45.7,45.8,47.3,47.3,47.6,46.9,45.6
"% Teachers Recieved in-Service Training",40.4,44.5,20.4,11.1,8.0,30.7,13.6,14.1,15.4,19.5
"% Contract Teachers to Total Teachers",33.6,7.2,7.1,6.9,9.6,0.2,-,-,22.5,15.7
