indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,27,28,30,40.0,43,41,43,42,40,39
% Schools with Drinking Water,99.5,100.0,100.0,100.0,100.0,10200.10,14100.0,100.0,100.0,100.0
% Schools with Common Toilet,36.2,38.1,40.1,32.4,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,93.2,92.9,100.0,100.0x,100.0x,100.0x,100.0
% Schools with Girls' Toilet,89.2,94.9,94.9,97.2,95.1,10200.10,15100.0x,100.0x,100.0x,100.0
% Schools with Boundarywall,97.3,100.0,99.4,99.4,100.0,100.0,98.9,99.5,100.0,100.0
% School with Playground Facility,-,-,-,98.3,95.1,9240.17,1695.2,93.8,92.9,93.0
% Schools with Ramp,28.7,35.2,39.0,43.2,43.5,46.5,97.6**,95.2**,87.6**,88.7**
% Schools havining Electricity,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
% Schools with Computer,71.4,76.1,85.9,90.3,93.5,94.7,96.3,95.8,95.4,94.5
