indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),4862,5519.0,5762.0,4922.0,6179.0,5462.0,7524,8555,8553.0,9309.0
% Teachers: Government,-,60.5,61.5,60.3,45.5,50.9,55.0,56.7,55.8,58.4
% Teachers: Private Aided,-,2.7,2.6,2.2,6.2,3.3,3.2,3.0,2.9,3.1
% Teachers: Private Unaided,-,36.8,36.0,37.5,33.9,42.1,41.8,40.3,40.8,37.7
Pupil-Teacher Ratio: Elementary,24,24.0,25.0,29.0,24.0,29.0,21,19,19.0,17.0
% Female Teachers,83.1,81.3,80.9,83.3,82.6,81.8,82.8,80.9,81.0,78.9
% SC Teachers,-,7.9,8.2,8.3,6.3,8.0,7.3,7.7,8.0,8.7
% ST Teachers,-,0.2,0.3,0.2,0.2,0.2,0.2,0.6,0.5,0.6
% OBC Teachers,-,4.2,5.2,5.2,4.0,5.6,5.5,7.1,7.4,9.0
% Teachers Recieved in-Service Training,14.5,15.0,23.9,15.6,0.7,16.6,15.2,13.8,6.1,8.7
% Contract Teachers to Total Teachers,1.3,1.5,16.9,20.8,18.3,17.8,-,-,28.2,25.4
