"School Indicators18.6",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Cove16re.6d,1,1,1,1,1,1,1,1,1,1
"Total Schools22.0",185,176,177,176,184,187,188,192,197,201
Total Government Schools,-,110,112,112,114,111,110,112,113,115
Total Private Schools,-,66,65,64,68,76,78,80,80,80
Ratio of Primary to U.PrimarySch2./6S.1ec.,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0
Primary Sch./Sec.per 1000 Child Popln.,2,2,2,2,2,2,2,2,2,2
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2,2,3,3,3,3,3,3,3
"% Single-Teacher Schools with Enr.≥15",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"% Enrolment in Single-Teacher Schools",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"% Schools with Enrolment 2≤0 5.00",4.9,1.7,1.1,1.1,3.8,2.1,1.1,1.0,1.0,0.5
"% Schools with Female Te1a8c.h9ers",98.9,100.0,99.4,99.4,97.3,100.0,100.0,100.0,100.0,100.0
