Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,76279,86250,89729,89871,93786,98214,96729,97524,96367,93230
Enrolment: Classes VI-VIII,42777,48461,51473,52474,55216,58655,62163,63661,64376,64691
"Enrolment: Classes I-V, Government",-,60845,63475,62823,65702,64038,64643,64122,61972,57920
"Enrolment:Classes VI-VIII,Gove99rn.9ment",-,32951,35550,36421,38742,38500,43189,44090,44519,43964
"Enrolment: Classes I-V, Privat1e00.0",-,25405,26254,27048,28069,31038,32086,33402,34001,34507
"Enrolment: Classes VI-VIII, Private",-,15510,15923,16053,16474,18003,18974,19571,19734,20533
"% Girls Enrolment: Primary Le9v8e.l8",45.5,44.7,45.0,45.5,45.9,46.5,46.8,46.8,46.6,46.7
"% Girls Enrolment: U.Primary L9e9.v6el",46.4,44.6,44.8,44.4,44.1,43.9,44.2,44.2,45.2,45.7
Ratio of Girls Enr.to Boys: Primary,0.83,0.81,0.82,0.84,0.85,0.87,0.88,0.88,0.87,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.81,0.81,0.80,0.79,0.78,0.79,0.79,0.82,0.84
"% SC Enrolment: Classes I-VIII",12.9,10.6,9.3,10.1,10.3,10.4,8.9,10.2,9.9,9.5
"% ST Enrolment: Classes  I-VII9I 9.4",0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.2
"% OBC Enrolment: Primary Level",1.7,1.3,1.0,1.2,1.3,1.4,1.1,1.5,1.6,1.7
"% OBC Enrolment:U.Primary Level",0.9,1.0,0.8,1.5,1.7,1.7,1.3,2.0,2.3,2.3
"% Muslim Enrolment: Primary 9L8e.v8el",-,3.8,4.7,5.3,5.2,5.1,3.2,5.2,5.5,5.7
"% Muslim Enrolment: U. Prima9r7y. 4Level",-,2.8,3.7,4.1,4.6,4.6,2.6,5.2,5.5,5.7
Ratio of Grade V to I,96,94,-,-,-,-,-,-,-,-
Avg. Repetition Rate: Primary Level,2.9,2.4,2.8,2.1,1.4,0.3,0.1,0.1,0.2,0.2
Avg.Repetition Rate: U.Primary Level,-,3.4,9.3,7.8,3.2,0.3,0.1,0.1,0.2,0.1
Avg. Drop-out Rate: Primary Le9v9e.1l,-,29.5,-,-,-,8-,.9-,-,-,-
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,-,-
Transition Rate: Primary to U.Primary,-,97.4,-,97.5,-,-,-,-,-,-
