indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric2t.9s Covered,16,16.0,16.0,16.0,16.0,16.0,27.0,27.0,27.0,27.0
Total Schools6.9,51347,49708.0,49907.0,50908.0,51423.0,52822.0,53766.0,53359.0,53299.0,50705.0
Total Government Schools,-,45578.0,45804.0,46172.0,46394.0,47186.0,47822.0,47468.0,47264.0,44387.0
Total Private Schools,-,3954.0,4060.0,4642.0,4945.0,5504.0,5788.0,5650.0,5839.0,6100.0
Ratio of Primary to U.Primar7y.S0ch./Sec.,2.5,2.2,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Primary Sch./Sec.per 1000 Child Popln.,15,14.0,10.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0
U.Prim. Sch./Sec.per 1000 Child Popln.,10,11.0,14.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0
% Single-Teacher Schools with Enr.≥15,8.4,13.6,10.9,10.0,6.8,5.0,7.3,6.4,5.7,4.0
% Enrolment in Single-Teacher Schools,5.0,8.9,6.4,6.3,4.0,3.0,3.6,3.9,2.7,2.2
% Schools with En3.r5olment ≤ 50,35.0,37.4,36.2,37.4,36.7,37.3,39.4,41.0,42.2,41.2
% Schools with F3e.m1 ale Teachers,62.9,65.5,66.5,67.9,67.2,67.7,68.0,69.0,66.1,65.8
