Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,3410558,3181295,3186573,3151851,3158200,3120598,3057283,2922943,2887939,2793005
Enrolment: Classes VI-VIII,1396952,1226727,1306602,1363884,1479244,1622304,1695256,1666621,1660741,1664350
"Enrolment: Classes I-V, Government",-,2791751,2728806,2635420,2581663,2446959,2375948,2221884,2119181,1987970
"Enrolment:Classes VI5-V8.I9II,Government",-,1044394,1096353,1131376,1225940,1324763,1378304,1342997,1311036,1293508
"Enrolment: Classes 5I-1V.1, Private",-,389544,457546,516404,572096,658426,670340,689068,756173,791823
"Enrolment: Classes VI-VIII, Private",-,178010,210175,232508,252599,288157,314030,320076,346983,367951
"% Girls Enrolment: Prim62a.4ry Level",48.6,48.9,48.9,49.0,49.0,48.9,49.0,49.0,48.9,48.9
"% Girls Enrolment: U5.P5.r1imary Level",46.1,48.0,48.3,48.8,49.0,49.3,49.4,49.3,49.2,49.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.85,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.97,0.97
"% SC Enrolment: Classes I-VIII",14.0,15.3,14.9,14.9,14.8,14.8,15.9,15.0,14.8,14.9
"% ST Enrolment: Class6e2s. 4 I-VIII",32.6,32.0,32.5,32.2,32.4,32.4,32.7,32.7,32.4,32.1
"% OBC Enrolment: Primary Level",45.3,45.6,45.7,45.5,45.4,44.8,43.6,44.0,44.5,44.7
"% OBC Enrolment:U.Primary Level",49.4,49.3,49.1,49.1,48.8,48.1,46.8,46.7,46.7,46.5
"% Muslim Enrolment: P60ri.m0 ary Level",-,0.7,0.2,1.2,1.3,1.4,1.5,1.5,1.7,1.7
"% Muslim Enrolme4n4t.:3 U. Primary Level",-,0.9,0.3,1.4,1.5,1.5,1.4,1.4,1.4,1.5
Ratio of Grade V to I,59,67,72,81,86,91,98,-,-,-
Avg. Repetition Rate: Primary Level,12.1,6.3,5.9,5.4,5.7,0.8,1.2,0.8,0.5,0.5
Avg.Repetition Rate: U.Primary Level,-,5.6,4.4,2.1,2.7,0.4,1.0,0.7,0.5,0.5
Avg. Drop-out Rate: Prim66a.r9y Level,9.7,7.4,7.9,6.2,5.4,4.9,1235..1,4.1,1.4,2.9
Retention Rate: Primary Level,-,69.5,69.9,61.7,74.9,78.9,80.1,83.0,86.0,88.5
Transition Rate: Primary to U.Primary,-,89.4,91.4,92.8,93.8,96.5,94.5,93.1,95.6,94.3
