Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),162707,154928,172382,171861,190489,200469,207108,213193,213457,214727
"% Teachers: Government",-,82.5,83.2,82.3,81.4,80.2,76.4,75.6,72.9,70.7
"% Teachers: Private Aided",-,1.6,1.1,1.3,1.2,1.2,1.3,1.1,1.2,1.1
"% Teachers: Private Unaided",-,15.7,15.6,16.4,16.9,18.2,21.9,22.9,25.6,27.8
Pupil-Teacher Ratio: Elementary,28,28,26,26,24,24,23,22,21,21
"% Female Teachers",31.3,32.9,34.8,35.8,37.3,38.3,39.7,40.7,42.4,43.2
"% SC Teachers",-,13.3,13.4,13.1,13.0,12.8,12.3,12.2,12.3,12.2
"% ST Teachers",-,28.7,29.7,29.8,31.1,31.4,29.9,29.5,29.1,28.7
"% OBC Teachers",-,37.7,37.4,37.6,37.6,37.4,37.3,37.0,38.0,38.3
"% Teachers Recieved in-Service Training",26.8,35.7,43.2,50.7,55.2,59.9,45.5,40.4,47.6,36.2
"% Contract Teachers to Total Teachers",25.3,9.1,10.1,35.9,14.3,31.3,-,-,5.0,0.2
