indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,31851,39779,40080,39826.0,39896.0,39381.0,35883,35822,35358,36196.0
Enrolment: Classes VI-VIII,7351,10248,11336,12464.0,19168.0,20613.0,22184,22971,22839,22778.0
"Enrolment: Classes I-V, Government",-,34291,34185,33422.0,32757.0,31254.0,26569,24960,23755,23905.0
"Enrolment:Classes VI-VIII,Go9v3e.r8nment",-,8822,9751,10595.0,16357.0,17281.0,18723,19114,18448,17850.0
"Enrolment: Classes I-V, Privat1e00.0",-,5488,5895,6404.0,7139.0,7707.0,9314,10862,11578,12144.0
"Enrolment: Classes VI-VIII, Private",-,1426,1585,1869.0,2811.0,3078.0,3461,3857,4391,4928.0
% Girls Enrolment: Primary Le9v6e.1l,47.0,47.7,47.7,47.7,47.2,47.2,47.1,46.6,46.7,46.9
% Girls Enrolment: U.Primary 1L0e0v.0el,40.7,43.0,44.0,44.6,45.4,46.1,46.1,46.2,46.1,46.5
Ratio of Girls Enr.to Boys: Primary,0.89,0.91,0.91,0.91,0.89,0.89,0.89,0.87,0.88,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.69,0.76,0.79,0.81,0.83,0.86,0.85,0.86,0.86,0.87
% SC Enrolment: Classes I-VIII,3.5,2.4,1.9,1.8,2.4,2.3,2.0,2.0,2.5,2.2
% ST Enrolment: Classes  I-VI9I4I .4,69.5,71.0,70.4,69.7,67.8,67.2,63.7,60.0,57.5,56.1
% OBC Enrolment: Primary Level,0.8,0.8,0.9,0.7,1.2,1.3,2.1,3.2,2.6,3.5
% OBC Enrolment:U.Primary Level,0.9,1.5,1.2,0.7,1.3,1.5,1.4,1.6,1.9,2.4
% Muslim Enrolment: Primary9 L3e.1vel,-,-,-,3.4,2.9,3.2,3.4,3.2,3.7,3.7
% Muslim0. 0Enrolment: U. Primary Level,-,-,-,2.7,2.8,3.2,3.0,2.5,3.1,3.2
Ratio of Grade V to I,55,77,81,97.0,95.0,98.0,-,98,-,87.0
Avg. Repetition Rate: Primary Level,-,18.4,12.2,7.9,5.8,4.3,1.9,1.4,1.2,0.9
Avg.Repetition Rate: U.Primary Level,-,10.9,7.2,3.6,3.2,2.5,2.5,0.8,1.0,0.9
Avg. Drop-out Rate: Primary 9L0e.v7el,-,-,4.5,2.8,2.0,2.5,160.4-,-,1.6,1.5
Retention Rate: Primary Level,-,-,85.5,82.4,82.9,88.8,91.2,96.0,93.3,96.9
Transition Rate: Primary to U.Primary,-,90.3,87.4,91.4,96.2,96.2,96.4,98.2,96.7,98.0
