indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distr4ic.0ts Covered,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total Schools9.0,228,304.0,308.0,296.0,297.0,303.0,315.0,319.0,320.0,323.0
Total Government Schools,-,272.0,274.0,273.0,273.0,275.0,275.0,275.0,275.0,275.0
Total Private Schools,-,19.0,21.0,23.0,24.0,28.0,40.0,44.0,44.0,44.0
Ratio of Primary to U.PrimarySch1.2/S.7ec.,2.4,2.5,2.4,2.4,2.4,3.0,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,8,11.0,8.0,12.0,12.0,27.0,28.0,8.0,7.0,7.0
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7.0,12.0,8.0,8.0,15.0,19.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,14.0,20.7,20.8,18.6,20.9,23.1,14.0,15.1,14.4,1.2
% Enrolment in Single-Teacher Schools,4.4,4.4,5.1,4.1,4.7,4.8,3.0,3.2,2.9,0.2
% Schools with E5n.r1olment ≤ 50,17.5,30.3,29.2,28.4,28.3,29.7,31.4,31.4,34.7,33.8
% Schools with F4e.5male Teachers,76.8,84.9,84.7,82.8,84.2,85.5,85.4,86.8,83.6,85.5
