Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,45,41,39,39,45,40,35,36,34,32
"% Schools with Drinking Water",87.3,91.1,93.8,96.3,96.3,9280.17,1499.4,100.0,100.0,100.0
"% Schools with Common Toilet",29.4,32.2,42.2,21.6,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,52.4,55.6,75.8,64.0x,96.2x,99.4x,100.0
"% Schools with Girls' Toilet",28.1,25.3,32.8,51.7,54.9,6240.10,15 71.8x,84.3x,94.7x,100.0
"% Schools with Boundarywall",56.6,42.1,43.2,38.9,39.4,40.6,43.8,42.6,46.9,56.4
"% School with Playground Facility",-,-,-,36.2,35.0,2290.17,1636.2,37.9,40.9,43.7
"% Schools with Ramp",1.3,3.0,6.2,27.4,24.2,20.8,66.7**,96.6**,99.1**,99.1**
"% Schools havining Electricity",-,-,74.4,75.7,76.4,81.9,92.7,95.3,98.4,100.0
"% Schools with Computer",4.4,5.9,4.2,9.5,11.8,27.7,32.7,35.7,36.9,39.3
"% Schools Providing Mid-day Meal*",-,-,-,99.3,98.6,99.7,98.6,99.0,98.6,98.6
