Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),963,1379,1428,1441,1468,1505,1879,1977,2042,2411
"% Teachers: Government",-,85.1,82.7,82.6,77.5,74.2,68.9,65.2,62.5,65.3
"% Teachers: Private Aided",-,4.4,3.4,3.2,3.3,3.9,3.8,3.9,3.9,3.3
"% Teachers: Private Unaided",-,10.5,13.9,14.2,18.2,21.1,27.4,30.9,33.6,30.7
Pupil-Teacher Ratio: Elementary,41,36,36,36,40,40,31,30,29,24
"% Female Teachers",51.5,55.6,57.0,56.9,58.6,59.4,62.2,62.6,63.5,63.2
"% SC Teachers",-,6.2,5.0,5.2,5.5,5.8,6.4,4.8,4.4,4.7
"% ST Teachers",-,52.1,51.8,52.5,50.2,51.8,46.5,46.7,45.3,46.9
"% OBC Teachers",-,4.2,5.0,4.8,4.7,5.1,5.2,5.3,5.0,5.5
"% Teachers Recieved in-Service Training",1.8,77.1,80.7,80.5,54.1,41.5,55.9,60.9,58.2,62.6
