indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distr5ic.1ts Covered,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Total Schools13.1,101,98.0,99.0,107.0,110.0,113.0,120.0,113.0,120.0,120.0
Total Government Schools,-,79.0,87.0,90.0,86.0,88.0,97.0,88.0,94.0,94.0
Total Private Schools,-,10.0,12.0,17.0,24.0,25.0,22.0,25.0,26.0,26.0
Ratio of Primary to U.Prim11a.r9ySch./Sec.,1.4,1.7,1.0,1.1,1.4,1.5,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,4,4.0,5.0,4.0,4.0,10.0,11.0,4.0,4.0,4.0
U.Prim. Sch./Sec.per 1000 Child Popln.,4,4.0,3.0,5.0,5.0,11.0,13.0,5.0,5.0,5.0
% Single-Teacher Schools with Enr.≥15,0.0,0.0,0.0,1.9,1.8,1.8,1.7,0.9,0.0,0.8
% Enrolment in Single-Teacher Schools,0.1,0.0,0.0,0.4,0.4,0.5,0.5,0.3,0.0,0.3
% Schools with E6n.r9olment ≤ 50,6.9,9.2,6.1,8.4,12.7,10.6,14.2,9.7,13.3,20.0
% Schools with 5F.2emale Teachers,99.0,98.0,93.9,93.5,95.5,94.7,95.0,96.5,100.0,100.0
