School Indicator6s.8,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distr5ic.1ts Covered,2,2,2,2,2,2,2,2,2,2
"Total Schools13.1",101,98,99,107,110,113,120,113,120,120
Total Government Schools,-,79,87,90,86,88,97,88,94,94
Total Private Schools,-,10,12,17,24,25,22,25,26,26
Ratio of Primary to U.Prim11a.r9ySch./Sec.,1.4,1.7,1.0,1.1,1.4,1.5,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,4,4,5,4,4,10,11,4,4,4
U.Prim. Sch./Sec.per 1000 Child Popln.,4,4,3,5,5,11,13,5,5,5
"% Single-Teacher Schools with Enr.≥15",0.0,0.0,0.0,1.9,1.8,1.8,1.7,0.9,0.0,0.8
"% Enrolment in Single-Teacher Schools",0.1,0.0,0.0,0.4,0.4,0.5,0.5,0.3,0.0,0.3
"% Schools with E6n.r9olment ≤ 50",6.9,9.2,6.1,8.4,12.7,10.6,14.2,9.7,13.3,20.0
"% Schools with 5F.2emale Teachers",99.0,98.0,93.9,93.5,95.5,94.7,95.0,96.5,100.0,100.0
