Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,15828,14229,16330,17472,17026,17122,17337,18152,18159,18145
Enrolment: Classes VI-VIII,8335,6367,8830,8963,9117,9337,9421,10009,9998,9833
"Enrolment: Classes I-V, Government",-,10719,11457,10349,9722,9468,9923,9330,9249,9214
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",-,5182,6341,5686,5892,5491,5989,5938,5915,5689
"Enrolment: Classes I-V, Privat1e00.0",-,2666,4873,7123,7304,7506,7414,8822,8910,8931
"Enrolment: Classes VI-VIII, Private",-,880,2489,3277,3225,3598,3432,4071,4083,4144
"% Girls Enrolment: Primary L9e0v.5el",46.3,46.7,46.5,46.3,46.6,46.5,45.9,45.7,45.7,46.2
"% Girls Enrolment: U.P60ri.m0 ary Level",46.1,44.2,49.6,47.0,47.6,46.2,45.9,46.2,46.3,46.9
Ratio of Girls Enr.to Boys: Primary,0.86,0.88,0.87,0.86,0.87,0.87,0.85,0.84,0.84,0.86
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.79,0.98,0.88,0.91,0.86,0.85,0.86,0.86,0.88
"% SC Enrolment: Classes I-VIII",4.3,4.7,4.5,4.3,4.3,3.7,3.3,3.6,3.4,3.3
"% ST Enrolment: Classes  I-V9II3I .6",12.0,12.9,12.0,11.5,10.9,10.6,11.3,9.4,9.2,9.1
"% OBC Enrolment: Primary Level",0.8,33.7,40.2,41.0,39.1,35.5,36.5,32.4,30.8,29.2
"% OBC Enrolment:U.Primary Level",2.2,28.2,45.3,52.1,52.6,47.4,47.3,41.8,38.4,36.4
"% Muslim Enrolment: Primary9 L3e.7vel",-,3.9,8.3,9.0,9.2,9.5,9.9,9.8,9.7,10.0
"% Muslim Enrolment: U. Prim1a0ry0 .L0evel",-,2.3,6.5,7.3,8.0,8.8,8.8,9.1,7.9,9.4
Ratio of Grade V to I,91,97,87,88,93,90,92,-,98,99
Avg. Repetition Rate: Primary Level,-,11.0,10.7,6.0,0.0,0.1,0.0,1.0,0.2,0.0
Avg.Repetition Rate: U.Primary Level,-,6.5,4.8,3.2,0.0,0.1,0.0,0.3,0.3,0.0
Avg. Drop-out Rate: Primary 8L9e.1vel,-,5.4,22.7,2.3,6.3,2.69,.10.7,-,0.9,1.1
Retention Rate: Primary Level,-,-,-,93.3,-,-,95.0,92.2,-,96.9
Transition Rate: Primary to U.Primary,-,77.6,100.0,92.0,97.6,99.9,-,-,96.2,96.0
