Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),481,696,747,838,880,819,1000,1193,1174,1163
"% Teachers: Government",-,75.0,73.8,63.0,56.1,51.8,55.1,55.0,55.0,54.3
"% Teachers: Private Aided",-,2.2,10.7,11.8,10.2,9.0,10.2,13.8,12.5,12.6
"% Teachers: Private Unaided",-,16.4,15.5,25.2,29.9,33.6,28.1,31.2,32.5,33.2
Pupil-Teacher Ratio: Elementary,34,30,34,31,30,32,27,24,24,24
"% Female Teachers",73.4,63.2,65.2,67.5,70.9,72.9,69.7,65.4,69.5,68.4
"% SC Teachers",-,7.9,6.6,7.3,7.4,8.3,7.8,8.1,8.7,9.0
"% ST Teachers",-,5.8,4.0,4.7,4.6,5.0,4.7,6.0,6.4,8.5
"% OBC Teachers",-,29.0,42.7,41.1,42.6,41.8,43.7,44.0,44.0,42.8
"% Teachers Recieved in-Service Training",18.0,26.7,24.7,50.6,48.9,50.3,30.1,24.4,22.7,30.7
"% Contract Teachers to Total Teachers",0.7,3.1,0.6,6.0,17.6,15.9,-,-,21.3,31.5
