indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,41,28,37,34.0,34,36,41,40,39,38
% Schools with Drinking Water,98.2,99.5,100.0,100.0,100.0,10200.10,14100.0,100.0,100.0,100.0
% Schools with Common Toilet,94.4,90.5,52.8,32.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,78.7,79.9,100.0,100.0x,100.0x,100.0x,100.0
% Schools with Girls' Toilet,87.8,74.2,87.9,78.9,80.3,9290.13,15100.0x,100.0x,100.0x,100.0
% Schools with Boundarywall,97.7,98.7,98.0,97.9,98.1,98.3,97.8,98.7,99.9,99.9
% School with Playground Facility,-,-,-,80.7,80.4,8200.11,1673.9,81.7,85.8,87.4
% Schools with Ramp,59.1,65.0,59.0,70.5,63.4,65.4,99.2**,100.0**,100.0**,100.0**
% Schools havining Electricity,-,-,98.5,98.7,99.0,99.8,99.7,100.0,100.0,100.0
% Schools with Computer,74.8,72.8,85.8,82.4,83.2,93.4,77.9,81.6,81.0,83.9
