"School Indicators15.8",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
"Number of Districts Covered16.0",9,9,9,9,9,9,9,9,9,9
"Total Schools15.5",4542,4742,4930,4946,5021,5064,5103,5387,5739,5751
Total Government Schools,-,2982,2768c,2733,2772,2782,2814,2826,2842,2826
Total Private Schools,-,1760,2162,2213,2249,2282,2289,2561,2897,2925
Ratio of Primary to U.PrimaryS1c5h.3./Sec.,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,2,3,2,3,3,3,3,3,3,3
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2,3,2,3,3,3,3,3,3
"% Single-Teacher Schools with Enr.≥15",0.2,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.2,0.2
"% Enrolment in Single-Teacher Schools",0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
"% Schools with Enrolment ≤1 35.06",2.6,2.2,0.9,1.1,1.2,1.1,1.0,1.4,1.5,1.5
"% Schools with Female Teac1h4e.1rs",86.7,94.0,92.4,92.3,92.5,92.5,94.0,100.0,95.0,95.5
