Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,1399122,1557302,1680260,1684425,1727698,1807829,1806683,1828741,1875514,1886974
Enrolment: Classes VI-VIII,819830,883944,966819,982164,982785,1010628,1063899,1115450,1115553,1120036
"Enrolment: Classes I-V, Government",-,1039616,1056915,1035286,1049443,1063558,1077156,1040768,1012162,994787
"Enrolment:Classes VI-VIII,Gov9e9rn.1ment",-,578804,623774,635420,628888,618353,683637,716314,692284,680861
"Enrolment: Classes I-V, Private97.4",-,517686,623345,649139,678255,708174,729527,787973,863352,892187
"Enrolment: Classes VI-VIII, Private",-,305140,343045,346744,353897,367545,380262,399136,423269,439175
"% Girls Enrolment: Primary Le1v0e0l.0",47.1,46.9,46.8,46.9,46.9,46.7,46.9,46.5,46.6,46.6
"% Girls Enrolment: U.Primary 1L0e0v.0el",46.8,46.1,46.2,46.0,46.0,45.9,46.0,46.3,46.5,46.8
Ratio of Girls Enr.to Boys: Primary,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.85,0.86,0.85,0.85,0.85,0.85,0.86,0.87,0.88
"% SC Enrolment: Classes I-VIII",12.3,12.0,10.8,10.3,10.3,10.0,10.5,10.4,10.3,10.1
"% ST Enrolment: Classes  I-VI1I0I 0.0",0.5,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"% OBC Enrolment: Primary Level",7.9,11.8,8.7,7.6,7.2,6.5,6.3,6.2,5.6,5.5
"% OBC Enrolment:U.Primary Level",1.5,9.5,3.1,2.0,2.3,2.6,2.8,3.3,3.6,3.8
"% Muslim Enrolment: Primary 1L0e0v.0el",-,5.3,12.3,15.4,15.7,13.2,16.1,16.3,15.8,16.0
"% Muslim0. 0Enrolment: U. Primary Level",-,8.4,10.7,12.5,13.0,11.3,14.6,15.3,15.4,15.4
Ratio of Grade V to I,79,85,86,93,100,-,-,-,-,-
Avg. Repetition Rate: Primary Level,9.1,4.7,0.5,3.1,2.7,0.7,0.0,0.1,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,11.5,4.3,2.7,2.7,0.6,0.0,0.5,0.2,0.2
Avg. Drop-out Rate: Primary L1e0v0e.l0,-,-,-,0.3,-,-,112.7 -,-,-,-
Retention Rate: Primary Level,-,-,-,-,98.5,-,-,-,-,-
Transition Rate: Primary to U.Primary,-,-,-,-,-,-,-,-,97.6,94.6
