Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),64284,101895,90705,94636,75515,83121,120018,131031,132631,138849
"% Teachers: Government",-,61.5,56.1,54.7,53.4,51.3,56.9,57.5,54.3,54.9
"% Teachers: Private Aided",-,7.3,4.7,4.3,3.7,3.3,4.3,3.8,3.8,3.6
"% Teachers: Private Unaided",-,31.3,39.3,41.1,40.8,43.2,38.8,38.7,41.9,41.5
Pupil-Teacher Ratio: Elementary,35,24,29,28,36,34,24,22,23,22
"% Female Teachers",70.0,67.5,71.8,72.2,73.5,75.3,71.2,71.3,72.6,72.3
"% SC Teachers",-,11.9,9.7,9.7,9.9,9.6,9.9,9.9,10.1,10.2
"% ST Teachers",-,2.1,2.2,2.8,2.9,2.6,2.3,2.2,2.5,2.4
"% OBC Teachers",-,7.9,9.0,9.8,11.8,10.9,9.7,10.5,10.8,11.1
"% Teachers Recieved in-Service Training",9.3,26.6,35.3,37.6,20.4,13.2,20.2,19.7,22.2,20.7
"% Contract Teachers to Total Teachers",2.6,2.4,1.4,2.8,5.8,1.5,-,-,17.6,19.9
