indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,95857,93672,110189,112994,111330,114236,122443,122820,123855,123788
Enrolment: Classes VI-VIII,42171,57982,63749,65673,70593,71769,74778,75264,72673,72521
"Enrolment: Classes I-V, Government",-,42414,47750,42212,39467,36075,33671,32243,30372,28543
"Enrolment:Classes VI-VIII,Gov9e5r.2nment",-,10552,12575,11345,12210,11597,10449,10444,9508,9335
"Enrolment: Classes I-V,6 P6.r7ivate",-,51258,62439,70782,71863,78161,88739,90577,93483,95245
"Enrolment: Classes VI-VIII, Private",-,47430,51174,54328,58383,60010,64329,64820,63165,63186
% Girls Enrolment: Primary Le9v6e.7l,47.4,48.5,48.3,48.0,48.3,48.2,47.9,48.0,48.0,48.0
% Girls Enrolment: U.Prima8ry4 .L1evel,47.0,45.9,46.2,46.5,47.2,46.9,47.1,47.2,47.6,47.7
Ratio of Girls Enr.to Boys: Primary,0.90,0.94,0.94,0.92,0.93,0.93,0.92,0.92,0.92,0.92
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.85,0.86,0.87,0.89,0.88,0.89,0.89,0.91,0.91
% SC Enrolment: Classes I-VIII,2.5,2.5,2.5,2.0,2.0,1.7,1.9,1.6,1.5,1.4
% ST Enrolment: Classes  I-VI9II5.5,5.6,7.9,8.9,8.5,9.1,9.1,7.6,9.2,8.7,8.3
% OBC Enrolment: Primary Level,7.2,9.3,8.9,8.0,7.3,6.8,7.0,8.0,8.0,7.6
% OBC Enrolment:U.Primary Level,5.4,9.9,9.5,9.8,10.2,10.7,10.8,12.4,12.5,12.5
% Muslim Enrolment: Primary 9L5e.v6el,-,2.5,0.2,8.7,9.8,9.5,9.8,11.2,11.1,11.7
% Muslim Enrolment: U. Pri8m4.a3ry Level,-,2.0,0.2,7.2,8.1,7.9,9.4,11.1,10.7,11.3
Ratio of Grade V to I,89,-,-,-,-,-,98,97,97,96
Avg. Repetition Rate: Primary Level,-,5.2,5.8,3.1,4.7,0.2,0.3,0.1,0.0,0.1
Avg.Repetition Rate: U.Primary Level,-,12.1,12.6,7.8,11.0,0.1,0.0,0.1,0.1,0.1
Avg. Drop-out Rate: Primary Le96v.e7l,-,13.2,-,5.0,1.0,64.1 -,-,-,0.2,0.7
Retention Rate: Primary Level,-,-,90.7,98.9,-,-,-,-,-,-
Transition Rate: Primary to U.Primary,-,79.2,93.8,-,87.7,99.2,-,-,-,100.0
