Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),5501,7782,8445,7450,7733,8457,10694,11217,11148,11382
"% Teachers: Government",-,43.0,42.4,41.1,40.4,38.5,29.8,30.9,29.4,28.5
"% Teachers: Private Aided",-,55.2,55.5,51.2,51.9,51.4,54.1,55.6,57.2,58.1
"% Teachers: Private Unaided",-,1.8,2.1,7.7,7.7,9.9,13.5,13.5,13.4,13.4
Pupil-Teacher Ratio: Elementary,25,19,21,24,24,22,18,18,18,17
"% Female Teachers",76.8,76.5,76.9,78.0,77.4,78.8,77.7,79.1,79.3,79.9
"% SC Teachers",-,1.2,1.3,1.3,1.2,1.1,1.3,1.0,1.0,1.0
"% ST Teachers",-,1.4,1.9,1.9,2.2,2.3,2.3,3.0,3.2,3.6
"% OBC Teachers",-,6.6,7.0,8.0,7.6,7.8,7.0,8.2,8.5,9.4
"% Teachers Recieved in-Service Training",40.7,51.2,47.5,60.3,53.3,41.2,35.7,41.9,35.4,32.5
"% Contract Teachers to Total Teachers",1.3,1.3,1.6,0.9,4.0,4.2,-,-,8.1,8.7
