indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,5479659,5806827.0,5808741.0,5852700.0,5888892.0,5858019.0,5974179,5936567,5764682,5648045
Enrolment: Classes VI-VIII,1675341,1855666.0,1903536.0,1961691.0,2258132.0,2518948.0,3246025,3292904,3377769,3442669
"Enrolment: Classes I-V, Government",-,4641271.0,4592741.0,4469490.0,4328974.0,4210871.0,4099085,3977505,3772106,3612666
"Enrolment:Classes VI-VIII,Gov9e5r.3nment",-,1390535.0,1414176.0,1411783.0,1588004.0,1757636.0,2116305,2128100,2169367,2203614
"Enrolment: Classes I-V, Privat9e4.2",-,1165556.0,1216000.0,1383210.0,1558831.0,1639127.0,1874162,1958320,1991790,2034778
"Enrolment: Classes VI-VIII, Private",-,465131.0,489360.0,549908.0,669534.0,754126.0,1128897,1163822,1207735,1238540
% Girls Enrolment: Primary Le9v6e.8l,47.0,46.7,46.8,46.6,46.3,46.4,46.6,46.7,46.8,47.0
% Girls Enrolment: U.Primary9 L3e.9vel,44.2,45.3,45.7,45.7,45.6,45.7,45.2,45.0,45.2,45.4
Ratio of Girls Enr.to Boys: Primary,0.89,0.88,0.88,0.87,0.86,0.87,0.87,0.87,0.88,0.89
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.83,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.83
% SC Enrolment: Classes I-VIII,7.5,8.0,7.3,7.2,7.7,7.6,7.6,7.3,7.2,7.0
% ST Enrolment: Classes  I-VII9I6.9,18.3,18.4,18.8,18.1,18.1,18.3,18.0,17.4,17.4,17.4
% OBC Enrolment: Primary Level,49.9,50.3,50.5,51.2,50.3,50.3,49.6,49.6,49.4,49.1
% OBC Enrolment:U.Primary Level,47.6,48.5,49.4,50.2,49.6,49.8,48.7,49.5,50.2,50.5
% Muslim Enrolment: Primary9 L8e.0vel,-,4.6,4.7,6.5,8.6,8.6,8.7,8.8,8.8,9.0
% Muslim Enrolment: U. Prim9a2r.y2 Level,-,4.5,4.8,6.4,8.1,8.0,8.4,8.6,8.6,8.9
Ratio of Grade V to I,74,83.0,87.0,92.0,88.0,90.0,99,-,-,-
Avg. Repetition Rate: Primary Level,11.1,8.8,7.8,5.8,9.6,6.7,1.0,0.6,0.6,0.2
Avg.Repetition Rate: U.Primary Level,-,4.9,4.2,2.8,5.0,3.3,1.2,0.5,0.7,0.2
Avg. Drop-out Rate: Primary L9e9v.e8l,4.3,4.2,2.7,3.9,4.3,3.0,107.7-,0.7,0.8,0.9
Retention Rate: Primary Level,-,84.5,82.8,84.6,80.8,87.6,93.3,95.5,94.2,98.4
Transition Rate: Primary to U.Primary,-,90.5,91.6,93.9,90.7,93.4,99.0,97.8,97.9,98.1
