indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts C5o.3vered,25,25.0,26.0,26.0,26.0,26.0,26.0,26.0,33.0,33.0
Total Schools8.8,37256,39039.0,39106.0,39939.0,40746.0,40943.0,42745.0,43178.0,43638.0,44051.0
Total Government Schools,-,33114.0,33182.0,33425.0,33552.0,33496.0,33768.0,33713.0,33755.0,33843.0
Total Private Schools,-,5925.0,5924.0,6513.0,7191.0,7444.0,8972.0,9462.0,9880.0,10205.0
Ratio of Primary to U.PrimaryS9c.2h./Sec.,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,7,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
% Single-Teacher Schools with Enr.≥15,3.4,1.7,1.9,1.3,0.8,0.7,1.5,1.7,1.4,1.3
% Enrolment in Single-Teacher Schools,1.0,0.5,0.5,0.4,0.2,0.2,0.3,0.4,0.3,0.3
% Schools with Enrolmen7t. 1≤ 50,20.0,18.1,18.0,18.6,18.6,17.9,18.8,19.0,19.9,20.5
% Schools with Female 6T.4eachers,81.9,83.4,83.6,84.3,85.7,86.5,87.8,88.2,87.9,88.2
