indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),206693,234507.0,238030.0,243342.0,260303.0,273065.0,303607,309931,319179.0,325031.0
% Teachers: Government,-,79.1,78.0,76.9,76.1,75.3,68.1,66.0,64.9,63.9
% Teachers: Private Aided,-,2.3,2.5,2.6,2.0,1.5,2.6,2.3,2.5,2.8
% Teachers: Private Unaided,-,18.6,19.5,20.5,21.7,23.0,29.3,31.6,32.6,33.3
Pupil-Teacher Ratio: Elementary,35,33.0,32.0,32.0,31.0,31.0,30,30,29.0,28.0
% Female Teachers,51.1,53.4,53.9,54.6,54.4,54.7,54.5,55.2,55.8,56.1
% SC Teachers,-,10.3,10.4,10.2,10.1,10.1,9.9,9.8,9.7,9.6
% ST Teachers,-,15.0,14.9,14.9,15.2,14.8,14.1,13.7,13.3,13.2
% OBC Teachers,-,27.1,27.4,28.2,29.1,29.5,29.8,30.1,30.3,30.7
% Teachers Recieved in-Service Training,56.5,71.1,67.2,62.8,48.9,78.9,65.7,62.4,55.1,54.6
% Contract Teachers to Total Teachers,0.6,1.0,1.1,0.9,3.4,7.4,-,-,10.9,9.0
Enrolment: Classes I-V,5479659,5806827.0,5808741.0,5852700.0,5888892.0,5858019.0,5974179,5936567,5764682,5648045
Enrolment: Classes VI-VIII,1675341,1855666.0,1903536.0,1961691.0,2258132.0,2518948.0,3246025,3292904,3377769,3442669
"Enrolment: Classes I-V, Government",-,4641271.0,4592741.0,4469490.0,4328974.0,4210871.0,4099085,3977505,3772106,3612666
"Enrolment:Classes VI-VIII,Gov9e5r.3nment",-,1390535.0,1414176.0,1411783.0,1588004.0,1757636.0,2116305,2128100,2169367,2203614
"Enrolment: Classes I-V, Privat9e4.2",-,1165556.0,1216000.0,1383210.0,1558831.0,1639127.0,1874162,1958320,1991790,2034778
"Enrolment: Classes VI-VIII, Private",-,465131.0,489360.0,549908.0,669534.0,754126.0,1128897,1163822,1207735,1238540
% Girls Enrolment: Primary Le9v6e.8l,47.0,46.7,46.8,46.6,46.3,46.4,46.6,46.7,46.8,47.0
% Girls Enrolment: U.Primary9 L3e.9vel,44.2,45.3,45.7,45.7,45.6,45.7,45.2,45.0,45.2,45.4
Ratio of Girls Enr.to Boys: Primary,0.89,0.88,0.88,0.87,0.86,0.87,0.87,0.87,0.88,0.89
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.83,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.83
% SC Enrolment: Classes I-VIII,7.5,8.0,7.3,7.2,7.7,7.6,7.6,7.3,7.2,7.0
% ST Enrolment: Classes  I-VII9I6.9,18.3,18.4,18.8,18.1,18.1,18.3,18.0,17.4,17.4,17.4
% OBC Enrolment: Primary Level,49.9,50.3,50.5,51.2,50.3,50.3,49.6,49.6,49.4,49.1
% OBC Enrolment:U.Primary Level,47.6,48.5,49.4,50.2,49.6,49.8,48.7,49.5,50.2,50.5
% Muslim Enrolment: Primary9 L8e.0vel,-,4.6,4.7,6.5,8.6,8.6,8.7,8.8,8.8,9.0
% Muslim Enrolment: U. Prim9a2r.y2 Level,-,4.5,4.8,6.4,8.1,8.0,8.4,8.6,8.6,8.9
Ratio of Grade V to I,74,83.0,87.0,92.0,88.0,90.0,99,-,-,-
