"School Indicators5.9",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts C5o.3vered,25,25,26,26,26,26,26,26,33,33
"Total Schools8.8",37256,39039,39106,39939,40746,40943,42745,43178,43638,44051
Total Government Schools,-,33114,33182,33425,33552,33496,33768,33713,33755,33843
Total Private Schools,-,5925,5924,6513,7191,7444,8972,9462,9880,10205
Ratio of Primary to U.PrimaryS9c.2h./Sec.,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,7,7,8,7,8,8,8,7,7,7
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8,7,9,9,9,10,9,9,9
"% Single-Teacher Schools with Enr.≥15",3.4,1.7,1.9,1.3,0.8,0.7,1.5,1.7,1.4,1.3
"% Enrolment in Single-Teacher Schools",1.0,0.5,0.5,0.4,0.2,0.2,0.3,0.4,0.3,0.3
"% Schools with Enrolmen7t. 1≤ 50",20.0,18.1,18.0,18.6,18.6,17.9,18.8,19.0,19.9,20.5
"% Schools with Female 6T.4eachers",81.9,83.4,83.6,84.3,85.7,86.5,87.8,88.2,87.9,88.2
