Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,38,35,34,34,34,33,33,30,29,28,
"% Schools with Drinking Water",80.9,87.2,90.2,96.7,97.9,10200.10,1499.6,100.0,99.9,100.0,
"% Schools with Common Toilet",57.3,70.7,73.1,37.5,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,49.4,58.8,76.4,75.3x,99.8x,99.9x,99.9,
"% Schools with Girls' Toilet",50.4,65.3,67.7,58.5,73.1,9290.17,15 97.5x,97.9x,98.5x,100.0,
"% Schools with Boundarywall",75.3,80.4,83.6,86.7,88.6,89.0,89.6,92.7,94.0,93.9,
"% School with Playground Facility",-,-,-,72.0,73.0,7240.10,1673.8,75.7,76.3,76.9,
"% Schools with Ramp",44.2,71.6,77.8,79.6,80.7,82.0,81.7**,95.6**,90.6**,92.6**,
"% Schools havining Electricity",-,-,87.4,94.8,97.5,98.9,98.7,99.7,99.7,99.7,
"% Schools with Computer",15.8,36.5,37.7,42.8,45.4,60.0,71.5,72.7,74.1,73.8,
"% Schools Providing Mid-day Meal*",-,-,-,92.5,88.8,89.9,95.7,96.1,96.0,95.7,
