Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),206693,234507,238030,243342,260303,273065,303607,309931,319179,325031
"% Teachers: Government",-,79.1,78.0,76.9,76.1,75.3,68.1,66.0,64.9,63.9
"% Teachers: Private Aided",-,2.3,2.5,2.6,2.0,1.5,2.6,2.3,2.5,2.8
"% Teachers: Private Unaided",-,18.6,19.5,20.5,21.7,23.0,29.3,31.6,32.6,33.3
Pupil-Teacher Ratio: Elementary,35,33,32,32,31,31,30,30,29,28
"% Female Teachers",51.1,53.4,53.9,54.6,54.4,54.7,54.5,55.2,55.8,56.1
"% SC Teachers",-,10.3,10.4,10.2,10.1,10.1,9.9,9.8,9.7,9.6
"% ST Teachers",-,15.0,14.9,14.9,15.2,14.8,14.1,13.7,13.3,13.2
"% OBC Teachers",-,27.1,27.4,28.2,29.1,29.5,29.8,30.1,30.3,30.7
"% Teachers Recieved in-Service Training",56.5,71.1,67.2,62.8,48.9,78.9,65.7,62.4,55.1,54.6
"% Contract Teachers to Total Teachers",0.6,1.0,1.1,0.9,3.4,7.4,-,-,10.9,9.0
