indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),63051,105846.0,116239,110134,132854.0,145815.0,175090.0,183776.0,201404.0,204970.0
% Teachers: Government,-,74.9,72.9,71.6,58.2,56.6,52.4,50.7,49.2,45.4
% Teachers: Private Aided,-,2.9,3.5,3.6,2.5,1.9,1.7,1.7,1.7,1.7
% Teachers: Private Unaided,-,22.3,23.7,24.8,35.5,38.0,43.5,45.5,46.9,49.7
Pupil-Teacher Ratio: Elementary,33,28.0,28,30,26.0,26.0,22.0,22.0,20.0,18.0
% Female Teachers,41.8,46.3,47.4,46.6,49.4,49.5,51.2,52.2,54.5,56.0
% SC Teachers,-,10.4,10.5,10.9,10.6,10.7,10.5,10.3,10.3,10.2
% ST Teachers,-,0.5,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0
% OBC Teachers,-,20.6,19.9,21.0,21.4,21.8,21.2,21.0,21.2,21.2
% Teachers Recieved in-Service Training,77.0,47.1,-,-,1.1,17.9,14.1,0.5,2.0,2.0
Enrolment: Classes I-V,1442315,1969409,2181761,2221119,2291835,2443613,2545537,2513863,2493578,2336650
Enrolment: Classes VI-VIII,642062,977878,1060668,1115634,1184011,1280868,1378800,1442860,1460388,1394294
"Enrolment: Classes I-V, Government",-,1485990,1589137,1565086,1402720,1404802,1358303,1289519,1217712,995425
"Enrolment:Classes VI-VIII,Go88v.e8rnment",-,686505,738300,738837,684644,714421,740372,778165,771104,668326
"Enrolment: Classes I-V, Private97.5",-,483419,592624,656033,827020,970994,1135310,1172306,1221977,1265793
"Enrolment: Classes VI-VIII, Private",-,291373,322368,376797,479256,540680,622983,649006,673851,704938
% Girls Enrolment: Primary L9e1v.6el,47.4,46.1,47.2,47.1,45.5,45.5,45.6,45.7,45.6,45.4
% Girls Enrolment: U.Primary 9L8e.1vel,48.1,46.6,47.9,47.4,45.0,44.8,44.8,45.0,45.2,45.4
Ratio of Girls Enr.to Boys: Primary,0.90,0.85,0.90,0.89,0.84,0.83,0.84,0.84,0.84,0.83
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.87,0.92,0.90,0.82,0.81,0.81,0.82,0.82,0.83
% SC Enrolment: Classes I-VIII,31.4,28.2,28.3,27.4,27.9,26.8,26.1,25.0,24.7,24.2
% ST Enrolment: Classes  I-V9I3I.I8,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
% OBC Enrolment: Primary Level,32.7,32.8,29.3,30.8,33.8,34.7,34.3,34.5,34.5,32.9
% OBC Enrolment:U.Primary Level,30.8,30.9,27.6,28.8,30.7,31.8,31.6,32.0,33.0,31.8
% Muslim Enrolment: Primary9 L5.e2vel,-,5.3,3.6,6.7,8.7,9.8,10.9,10.7,10.3,8.7
% Muslim Enrolment: U. Prim9a5ry.3 Level,-,2.3,2.0,2.8,3.8,5.1,6.0,6.6,7.2,6.0
Ratio of Grade V to I,88,84,82,86,95,97,-,-,-,-
Avg. Repetition Rate: Primary Level,-,8.6,6.4,6.1,3.1,0.7,0.5,0.2,0.3,0.4
Avg.Repetition Rate: U.Primary Level,-,7.0,6.3,4.7,1.8,0.1,0.2,0.1,0.2,0.2
Avg. Drop-out Rate: Primary L9e6v.7el,12.7,4.4,0.7,0.2,6.2,8-,.7-,1.3,0.4,5.6
Retention Rate: Primary Level,-,96.4,-,-,-,-,-,-,-,97.5
Transition Rate: Primary to U.Primary,-,-,97.7,89.0,97.9,-,99.4,97.0,97.1,92.4
Student-Classroom Ratio,33,30,30,32.0,27,27,27,27,26,24
% Schools with Drinking Water,90.0,97.4,97.0,99.5,99.0,9290.16,1499.7,99.9,99.8,99.9
% Schools with Common Toilet,69.1,94.1,94.8,56.6,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,68.3,68.2,92.7,86.6x,98.9x,98.7x,99.5
