School Indicators6.2,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distric4t.s5 Covered,19,20,20,21,21,21,21,21,21,21,
"Total Schools11.0",13559,17743,18947,18579,20869,21300,22004,21938,21791,22268,
Total Government Schools,-,14729,15460,15153,14955,15021,14988,14974,14587,14598,
Total Private Schools,-,3008,3480,3424,5235,5675,6461,6450,6638,6834,
Ratio of Primary to U.PrimaryS1c1h.6./Sec.,2.1,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,
Primary Sch./Sec.per 1000 Child Popln.,4,5,6,6,6,6,7,6,6,6,
U.Prim. Sch./Sec.per 1000 Child Popln.,3,5,6,6,7,7,8,8,8,8,
"% Single-Teacher Schools with Enr.≥15",6.2,3.2,2.8,3.9,4.5,1.7,3.1,3.3,3.3,3.6,
"% Enrolment in Single-Teacher Schools",3.0,1.3,1.1,1.3,1.8,0.6,0.8,1.3,1.2,1.2,
"% Schools with Enro6lm.7ent ≤ 50",14.9,13.4,13.4,13.5,16.1,14.7,14.6,15.2,15.8,19.8,
"% Schools with F4e.m8 ale Teachers",71.0,77.9,79.3,79.2,81.7,81.2,82.5,100.0,81.9,81.3,
