indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,660960,659422,646534,623198,625518,619300,610098,599071,588761,581113
Enrolment: Classes VI-VIII,410860,424618,418744,412919,410109,386642,374800,370024,369970,369653
"Enrolment: Classes I-V, Government",-,498907,473196,445328,428372,403280,387357,368110,345333,330791
"Enrolment:Classes VI-VIII,Go9v1e.4rnment",-,353589,343254,332127,317959,281711,270343,260721,254871,249604
"Enrolment: Classes I-V, Pr7iv8.a3te",-,160515,173338,177870,197146,210850,222679,230812,243360,250288
"Enrolment: Classes VI-VIII, Private",-,71029,75490,80792,92150,99594,104457,109301,115099,120049
% Girls Enrolment: Primary Le9v4e.8l,47.6,47.3,47.4,47.5,47.6,47.5,47.5,47.6,47.7,47.7
% Girls Enrolment: U.Prim7a9ry.0 Level,47.4,47.2,47.3,47.2,46.7,46.7,46.8,47.1,47.4,47.5
Ratio of Girls Enr.to Boys: Primary,0.91,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91
Ratio of Girls Enr.to Boys: U.Primary,0.90,0.90,0.90,0.89,0.88,0.88,0.88,0.89,0.90,0.90
% SC Enrolment: Classes I-VIII,28.6,28.0,28.0,28.2,28.1,28.1,29.5,27.9,27.6,27.5
% ST Enrolment: Classes  I-VI9II6.5,5.5,5.6,5.7,5.7,5.7,5.8,5.8,5.5,5.6,5.5
% OBC Enrolment: Primary Level,14.2,14.0,13.5,12.9,12.8,13.1,12.8,12.8,12.9,13.0
% OBC Enrolment:U.Primary Level,14.7,14.8,14.9,14.6,14.6,14.4,14.1,14.0,13.9,13.7
% Muslim Enrolment: Primary 9L4e.5vel,-,1.1,1.2,1.6,1.7,1.8,1.7,2.3,2.0,2.0
% Muslim Enrolment: U. Prim87a.2ry Level,-,1.1,0.9,1.1,1.5,1.5,1.6,1.8,1.7,1.9
Ratio of Grade V to I,-,-,-,-,100,-,-,-,-,-
Avg. Repetition Rate: Primary Level,4.3,4.1,4.2,2.3,3.0,0.9,0.3,1.0,0.3,0.2
Avg.Repetition Rate: U.Primary Level,-,11.1,9.8,6.4,6.0,0.8,0.3,0.8,0.6,0.3
Avg. Drop-out Rate: Primary L9e5v.e7l,2.9,2.6,2.0,2.8,-,0.7,112.1 -,0.5,0.5,0.6
Retention Rate: Primary Level,-,94.6,94.5,97.9,93.7,95.7,95.0,99.4,98.2,98.9
Transition Rate: Primary to U.Primary,-,92.6,93.7,95.6,96.1,98.0,98.6,97.9,98.0,98.1
