indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distr3ic.2ts Covered,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total Schools10.2,16013,17197.0,17360.0,17408.0,17439.0,17388.0,17547.0,17720.0,17956.0,18024.0
Total Government Schools,-,14968.0,15071.0,15091.0,15126.0,15001.0,15111.0,15219.0,15355.0,15386.0
Total Private Schools,-,2224.0,2289.0,2317.0,2313.0,2384.0,2434.0,2497.0,2599.0,2637.0
Ratio of Primary to U.PrimarySch1.0/S.5ec.,2.6,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,20,22.0,16.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0
U.Prim. Sch./Sec.per 1000 Child Popln.,13,15.0,23.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0
% Single-Teacher Schools with Enr.≥15,7.9,5.5,7.4,4.3,3.6,3.1,4.2,4.4,3.3,4.6
% Enrolment in Single-Teacher Schools,4.7,3.0,4.3,2.5,2.1,2.0,2.5,2.8,2.2,3.0
% Schools with E3n.8rolment ≤ 50,51.9,55.8,57.5,59.7,61.1,63.4,63.8,68.0,69.9,71.2
% Schools with 3F.1emale Teachers,71.3,72.4,73.1,71.9,71.3,71.4,74.3,100.0,72.1,73.4
